prod_link,tags,seller_address,meta_description,meta_keyword
casual-shoes/mactree/mactree-men-tan-suede-loafers/16732730/buy,"['footwear', 'men-footwear', 'casual-shoes', 'mactree-casual-shoes']","21/2A/10 JOHNS MILL NO. 4 , JEONI MANDI NEAR JANNAT HOTELAgra , Uttar Pradesh - 282004",Buy Mactree Men Tan Suede Loafers - Casual Shoes for Men from Mactree at Rs. 849. Style ID: 16732730,"Mactree Men Tan Suede Loafers,  Mactree, Casual Shoes, Shoes, Footwear, Footwear for Men, Buy Mactree Men Tan Suede Loafers Online in India, Buy Casual Shoes at best price"
tshirts/dressberry/dressberry-women-black-solid-pure-cotton-t-shirt/14220436/buy,"['clothing', 'women-clothing', 'tshirts', 'dressberry-tshirts']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy DressBerry Women Black Solid Pure Cotton T Shirt - Tshirts for Women from DressBerry at Rs. 359. Style ID: 14220436,"DressBerry Women Black Solid Pure Cotton T Shirt,  DressBerry, Tshirts, Topwear, Apparel, Apparel for Women, Buy DressBerry Women Black Solid Pure Cotton T Shirt Online in India, Buy Tshirts at best price"
watches/scuderia-ferrari/scuderia-ferrari-men-black-analogue-watch-0830778/13113042/buy,"['accessories', 'men-accessories', 'watches', 'scuderia-ferrari-watches']","11th Floor, Flat No. 1106, 1107, 26, Kailash, Kasturba Gandhi Marg, New Delhi, New Delhi, Delhi, 110001Delhi , Delhi - 110001",Buy SCUDERIA FERRARI Men Black Analogue Watch 0830778 - Watches for Men from SCUDERIA FERRARI at Rs. 3225. Style ID: 13113042,"SCUDERIA FERRARI Men Black Analogue Watch 0830778,  SCUDERIA FERRARI, Watches, Watches, Accessories, Accessories for Men, Buy SCUDERIA FERRARI Men Black Analogue Watch 0830778 Online in India, Buy Watches at best price"
heels/metro/metro-women-brown-solid-sandals/13387082/buy,"['footwear', 'women-footwear', 'heels', 'metro-heels']","Metro Brands Limited,Building no.B-3 Gala No.3,Bhagwan Sheth Estate,purna Village,Taluka Bhiwandi, Dist-ThaneBhiwandi , Maharashtra - 421302",Buy Metro Women Brown Solid Sandals - Heels for Women from Metro at Rs. 929. Style ID: 13387082,"Metro Women Brown Solid Sandals,  Metro, Heels, Shoes, Footwear, Footwear for Women, Buy Metro Women Brown Solid Sandals Online in India, Buy Heels at best price"
tshirts/huetrap/huetrap-men-black-printed-scoop-neck-t-shirt/11134750/buy,"['clothing', 'men-clothing', 'tshirts', 'huetrap-tshirts']","10,12, Kumara Nagar South2nd StreetTirupur , Tamilnadu - 641603",Buy Huetrap Men Black Printed Scoop Neck T Shirt - Tshirts for Men from Huetrap at Rs. 395. Style ID: 11134750,"Huetrap Men Black Printed Scoop Neck T Shirt,  Huetrap, Tshirts, Topwear, Apparel, Apparel for Men, Buy Huetrap Men Black Printed Scoop Neck T Shirt Online in India, Buy Tshirts at best price"
handbags/aeropostale/aeropostale-brown-animal-textured-pu-structured-sling-bag/18342576/buy,"['accessories', 'women-accessories', 'handbags', 'aeropostale-handbags']","2, C-1, Sarathi Co-Op HSG LTDKhira nagar, S V road, Santacruz WestMUMBAI , MAHARASHTRA - 400054",Buy Aeropostale Brown Animal Textured PU Structured Sling Bag - Handbags for Women from Aeropostale at Rs. 752. Style ID: 18342576,"Aeropostale Brown Animal Textured PU Structured Sling Bag,  Aeropostale, Handbags, Bags, Accessories, Accessories for Women, Buy Aeropostale Brown Animal Textured PU Structured Sling Bag Online in India, Buy Handbags at best price"
boots/mochi/mochi-black-platform-heeled-boots/17121804/buy,"['footwear', 'women-footwear', 'boots', 'mochi-boots']","Metro Brands Limited,Building no.B-3 Gala No.3,Bhagwan Sheth Estate,purna Village,Taluka Bhiwandi, Dist-ThaneBhiwandi , Maharashtra - 421302",Buy Mochi Black Platform Heeled Boots - Boots for Women from Mochi at Rs. 2245. Style ID: 17121804,"Mochi Black Platform Heeled Boots,  Mochi, Boots, Shoes, Footwear, Footwear for Women, Buy Mochi Black Platform Heeled Boots Online in India, Buy Boots at best price"
kurtas/libas/libas-women-green-thread-work-kurta-with-cut-out-detail/18149462/buy,"['clothing', 'women-clothing', 'kurtas', 'libas-kurtas']","B-19, Phase - II, ,Sector -83Noida , Uttar pradesh - 201305",Buy Libas Women Green Thread Work Kurta With Cut Out Detail - Kurtas for Women from Libas at Rs. 899. Style ID: 18149462,"Libas Women Green Thread Work Kurta With Cut Out Detail,  Libas, Kurtas, Topwear, Apparel, Apparel for Women, Buy Libas Women Green Thread Work Kurta With Cut Out Detail Online in India, Buy Kurtas at best price"
jackets/zalora-basics/zalora-basics-men-green-pure-cotton-tailored-jacket/18033712/buy,"['clothing', 'men-clothing', 'jackets', 'zalora-basics-jackets']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy ZALORA BASICS Men Green Pure Cotton Tailored Jacket - Jackets for Men from ZALORA BASICS at Rs. 2239. Style ID: 18033712,"ZALORA BASICS Men Green Pure Cotton Tailored Jacket,  ZALORA BASICS, Jackets, Topwear, Apparel, Apparel for Men, Buy ZALORA BASICS Men Green Pure Cotton Tailored Jacket Online in India, Buy Jackets at best price"
dresses/hm/hm-women-black-ribbed-bodycon-dress/17883378/buy,"['clothing', 'women-clothing', 'dresses', 'h-and-m-dresses']","Prakhhyat Infraprojects PVT. LTD., BUILDING 6, K-Square Logistics Park C/O LF LogisticsNear Padgha Toll Naka on MUMBAI-NASIKThane , Maharashtra - 421101",Buy H&M Women Black Ribbed Bodycon Dress - Dresses for Women from H&M at Rs. 1299. Style ID: 17883378,"H&M Women Black Ribbed Bodycon Dress,  H&M, Dresses, Dress, Apparel, Apparel for Women, Buy H&M Women Black Ribbed Bodycon Dress Online in India, Buy Dresses at best price"
planters/homesake/-homesake-beige-2-tier-wall-hanging-planters/17989868/buy,"['home-furnishing', 'unisex-home-furnishing', 'planters', 'homesake-planters']","E 179,Sector 63,Uttar Pradesh,India,201307Noida , Uttar Pradesh - 201307",Buy Homesake Beige 2 Tier Wall Hanging Planters - Planters for Unisex from Homesake at Rs. 499. Style ID: 17989868,"Homesake Beige 2 Tier Wall Hanging Planters,  Homesake, Planters, Home Decor, Home, Home for Unisex, Buy Homesake Beige 2 Tier Wall Hanging Planters Online in India, Buy Planters at best price"
hair-cream-and-mask/loreal-professionnel/loreal-professionnel-xtenso-care-sulfate-free-mask---196-g/17645374/buy,"['personal-care', 'women-personal-care', 'hair-cream-and-mask', 'loreal-professionnel-hair-cream-and-mask']","WZ199/2,Second Floor3,Madipur Village,Madipur,DelhiDelhi , Delhi - 110063",Buy LOreal Professionnel Xtenso Care Sulfate Free Mask   196 G - Hair Cream And Mask for Women from LOreal Professionnel at Rs. 1065. Style ID: 17645374,"LOreal Professionnel Xtenso Care Sulfate Free Mask   196 G,  LOreal Professionnel, Hair Cream And Mask, Hair, Personal Care, Personal Care for Women, Buy LOreal Professionnel Xtenso Care Sulfate Free Mask   196 G Online in India, Buy Hair Cream And Mask at best price"
bra/reebok/reebok-women-black-workout-ess-bra-heavily-padded-ha9832-black/16761784/buy,"['clothing', 'women-clothing', 'bra', 'reebok-bra']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Reebok Women Black Workout ESS Bra Heavily Padded HA9832 BLACK - Bra for Women from Reebok at Rs. 1439. Style ID: 16761784,"Reebok Women Black Workout ESS Bra Heavily Padded HA9832 BLACK,  Reebok, Bra, Innerwear, Apparel, Apparel for Women, Buy Reebok Women Black Workout ESS Bra Heavily Padded HA9832 BLACK Online in India, Buy Bra at best price"
heels/shoetopia/shoetopia-silver-toned-block-mules/17558000/buy,"['footwear', 'women-footwear', 'heels', 'shoetopia-heels']","Basement floor B- 86 Mayapuri Industerial Area Phase-1New Delhi , Delhi - 110064",Buy Shoetopia Silver Toned Block Mules - Heels for Women from Shoetopia at Rs. 798. Style ID: 17558000,"Shoetopia Silver Toned Block Mules,  Shoetopia, Heels, Shoes, Footwear, Footwear for Women, Buy Shoetopia Silver Toned Block Mules Online in India, Buy Heels at best price"
jackets/jack--jones/jack--jones-men-brown-puffer-jacket/15219468/buy,"['clothing', 'men-clothing', 'jackets', 'jack-and-jones-jackets']","Lalit Residency, 4th Floor,, Sahar, Andheri, Maharashtra, India, 400059, Sahar, Andheri, Maharashtra, India, 400059Sahar, AndheriMumbai , Maharashtra - 400059",Buy Jack & Jones Men Brown Puffer Jacket - Jackets for Men from Jack & Jones at Rs. 2924. Style ID: 15219468,"Jack & Jones Men Brown Puffer Jacket,  Jack & Jones, Jackets, Topwear, Apparel, Apparel for Men, Buy Jack & Jones Men Brown Puffer Jacket Online in India, Buy Jackets at best price"
flats/mochi/mochi-women-yellow-open-toe-flats/18308530/buy,"['footwear', 'women-footwear', 'flats', 'mochi-flats']","Metro Brands Limited,Building no.B-3 Gala No.3,Bhagwan Sheth Estate,purna Village,Taluka Bhiwandi, Dist-ThaneBhiwandi , Maharashtra - 421302",Buy Mochi Women Yellow Open Toe Flats - Flats for Women from Mochi at Rs. 1690. Style ID: 18308530,"Mochi Women Yellow Open Toe Flats,  Mochi, Flats, Shoes, Footwear, Footwear for Women, Buy Mochi Women Yellow Open Toe Flats Online in India, Buy Flats at best price"
trousers/de-moza/de-moza-women-blue-tapered-fit-pleated-trousers/18167920/buy,"['clothing', 'women-clothing', 'trousers', 'de-moza-trousers']","301 Regent Prime,4th Floor,Whitefield Main RoadWhitefield,BangaloreBengaluru , Karnataka - 560066",Buy De Moza Women Blue Tapered Fit Pleated Trousers 100% Cotton - Trousers for Women from De Moza at Rs. 629. Style ID: 18167920,"De Moza Women Blue Tapered Fit Pleated Trousers 100% Cotton,  De Moza, Trousers, Bottomwear, Apparel, Apparel for Women, Buy De Moza Women Blue Tapered Fit Pleated Trousers 100% Cotton Online in India, Buy Trousers at best price"
handbags/baggit/baggit-green-solid-synthetic-leather-regular-structured-handheld-bag/15346944/buy,"['accessories', 'women-accessories', 'handbags', 'baggit-handbags']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy Baggit Green Solid Synthetic Leather Regular Structured Handheld Bag - Handbags for Women from Baggit at Rs. 1358. Style ID: 15346944,"Baggit Green Solid Synthetic Leather Regular Structured Handheld Bag,  Baggit, Handbags, Bags, Accessories, Accessories for Women, Buy Baggit Green Solid Synthetic Leather Regular Structured Handheld Bag Online in India, Buy Handbags at best price"
trousers/shae-by-sassafras/shae-by-sassafras-women-blue--white-regular-fit-printed-cropped-trousers/11636326/buy,"['clothing', 'women-clothing', 'trousers', 'shae-by-sassafras-trousers']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy Shae By SASSAFRAS Women Blue & White Regular Fit Printed Cropped Trousers - Trousers for Women from Shae By SASSAFRAS at Rs. 479. Style ID: 11636326,"Shae By SASSAFRAS Women Blue & White Regular Fit Printed Cropped Trousers,  Shae By SASSAFRAS, Trousers, Bottomwear, Apparel, Apparel for Women, Buy Shae By SASSAFRAS Women Blue & White Regular Fit Printed Cropped Trousers Online in India, Buy Trousers at best price"
lounge-tshirts/jockey/jockey-men-white-solid-modern-fit-v-neck-lounge-t-shirt/11420240/buy,"['clothing', 'men-clothing', 'lounge-tshirts', 'jockey-lounge-tshirts']","Cessna Business Park Umiya Business Bay-Tower-1 7th Floor KadubeesanahalliBengaluru , Karnataka - 560103",Buy Jockey Men White Solid Modern Fit V Neck Lounge T Shirt - Lounge Tshirts for Men from Jockey at Rs. 459. Style ID: 11420240,"Jockey Men White Solid Modern Fit V Neck Lounge T Shirt,  Jockey, Lounge Tshirts, Loungewear And Nightwear, Apparel, Apparel for Men, Buy Jockey Men White Solid Modern Fit V Neck Lounge T Shirt Online in India, Buy Lounge Tshirts at best price"
tops/ed-a-mamma/ed-a-mamma-girls-yellow-solid-tie-up-neck-dobby-cotton-regular-top/18107176/buy,"['clothing', 'girls-clothing', 'tops', 'ed-a-mamma-tops']","1A GIGI HOUSE SILVER BEACH ESTATEMumbai , Maharashtra - 400054",Buy Ed A Mamma Girls Yellow Solid Tie Up Neck Dobby Cotton Regular Top - Tops for Girls from Ed A Mamma at Rs. 899. Style ID: 18107176,"Ed A Mamma Girls Yellow Solid Tie Up Neck Dobby Cotton Regular Top,  Ed A Mamma, Tops, Topwear, Apparel, Apparel for Girls, Buy Ed A Mamma Girls Yellow Solid Tie Up Neck Dobby Cotton Regular Top Online in India, Buy Tops at best price"
kurtas/indian-dobby/indian-dobby-women-white--green-ethnic-motifs-printed-block-print-pure-cotton-kurta/18081248/buy,"['clothing', 'women-clothing', 'kurtas', 'indian-dobby-kurtas']","421, Ground Floor, Dhanpati BhawanShahpurjat,Delhi , DELHI - 110049",Buy Indian Dobby Women White & Green Ethnic Motifs Printed Block Print Pure Cotton Kurta - Kurtas for Women from Indian Dobby at Rs. 1299. Style ID: 18081248,"Indian Dobby Women White & Green Ethnic Motifs Printed Block Print Pure Cotton Kurta,  Indian Dobby, Kurtas, Topwear, Apparel, Apparel for Women, Buy Indian Dobby Women White & Green Ethnic Motifs Printed Block Print Pure Cotton Kurta Online in India, Buy Kurtas at best price"
sandals/hush-puppies/hush-puppies-men-brown-leather-comfort-sandals/17684154/buy,"['footwear', 'men-footwear', 'sandals', 'hush-puppies-sandals']","BATA INDIA LTDGurugram , Haryana - 122504",Buy Hush Puppies Men Brown Leather Comfort Sandals - Sandals for Men from Hush Puppies at Rs. 2699. Style ID: 17684154,"Hush Puppies Men Brown Leather Comfort Sandals,  Hush Puppies, Sandals, Sandal, Footwear, Footwear for Men, Buy Hush Puppies Men Brown Leather Comfort Sandals Online in India, Buy Sandals at best price"
shorts/highlander/highlander-men-pink-printed-slim-fit-chino-shorts/14230626/buy,"['clothing', 'men-clothing', 'shorts', 'highlander-shorts']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy HIGHLANDER Men Pink Printed Slim Fit Chino Shorts - Shorts for Men from HIGHLANDER at Rs. 539. Style ID: 14230626,"HIGHLANDER Men Pink Printed Slim Fit Chino Shorts,  HIGHLANDER, Shorts, Bottomwear, Apparel, Apparel for Men, Buy HIGHLANDER Men Pink Printed Slim Fit Chino Shorts Online in India, Buy Shorts at best price"
jackets/rare-rabbit/rare-rabbit-men-black-padded-jacket/15575650/buy,"['clothing', 'men-clothing', 'jackets', 'rare-rabbit-jackets']","314 315 316 317 318 319, GR FLOOR, JIGANI INDUSTRIAL AREA BOMMSANDAR, JIGANI, LINK ROAD ANEKAL TALUK, Bengaluru (Bangalore) Rural, Karnataka, 562106Bengaluru , Karnataka - 562106",Buy RARE RABBIT Men Black Padded Jacket - Jackets for Men from RARE RABBIT at Rs. 2759. Style ID: 15575650,"RARE RABBIT Men Black Padded Jacket,  RARE RABBIT, Jackets, Topwear, Apparel, Apparel for Men, Buy RARE RABBIT Men Black Padded Jacket Online in India, Buy Jackets at best price"
shorts/ether/ether-men-olive-green-slim-fit-pure-cotton-chino-shorts/15439962/buy,"['clothing', 'men-clothing', 'shorts', 'ether-shorts']","11th Floor, Flat No. 1106, 1107, 26, Kailash, Kasturba Gandhi Marg, New Delhi, New Delhi, Delhi, 110001Delhi , Delhi - 110001",Buy Ether Men Olive Green Slim Fit Pure Cotton Chino Shorts - Shorts for Men from Ether at Rs. 749. Style ID: 15439962,"Ether Men Olive Green Slim Fit Pure Cotton Chino Shorts,  Ether, Shorts, Bottomwear, Apparel, Apparel for Men, Buy Ether Men Olive Green Slim Fit Pure Cotton Chino Shorts Online in India, Buy Shorts at best price"
