prod_link,tags,seller_address,meta_description,meta_keyword
tshirts/kook-n-keech/kook-n-keech-women-white-typography-joyful-conversation-t-shirt/16189594/buy,"['clothing', 'women-clothing', 'tshirts', 'kook-n-keech-tshirts']","WZ199/2,Second Floor3,Madipur Village,Madipur,DelhiDelhi , Delhi - 110063",Buy Kook N Keech Women White Typography Joyful Conversation T Shirt - Tshirts for Women from Kook N Keech at Rs. 314. Style ID: 16189594,"Kook N Keech Women White Typography Joyful Conversation T Shirt,  Kook N Keech, Tshirts, Topwear, Apparel, Apparel for Women, Buy Kook N Keech Women White Typography Joyful Conversation T Shirt Online in India, Buy Tshirts at best price"
tshirts/roadster/roadster-men-brown--black-printed-pure-cotton-t-shirt/17330662/buy,"['clothing', 'men-clothing', 'tshirts', 'roadster-tshirts']","406, B2 and C, 4th Floor,Centrum Plaza, Golf Course Road, Sector - 53,Gurugram , Haryana - 122102",Buy Roadster Men Brown & Black Printed Pure Cotton T Shirt - Tshirts for Men from Roadster at Rs. 455. Style ID: 17330662,"Roadster Men Brown & Black Printed Pure Cotton T Shirt,  Roadster, Tshirts, Topwear, Apparel, Apparel for Men, Buy Roadster Men Brown & Black Printed Pure Cotton T Shirt Online in India, Buy Tshirts at best price"
sandals/metro/metro-men-black--grey-textured-comfort-sandals-/13335726/buy,"['footwear', 'men-footwear', 'sandals', 'metro-sandals']","Metro Brands Limited,Building no.B-3 Gala No.3,Bhagwan Sheth Estate,purna Village,Taluka Bhiwandi, Dist-ThaneBhiwandi , Maharashtra - 421302",Buy Metro Men Black & Grey Textured Comfort Sandals - Sandals for Men from Metro at Rs. 995. Style ID: 13335726,"Metro Men Black & Grey Textured Comfort Sandals,  Metro, Sandals, Sandal, Footwear, Footwear for Men, Buy Metro Men Black & Grey Textured Comfort Sandals Online in India, Buy Sandals at best price"
bra/prettycat/prettycat-women-pink-printed-lightly-padded-non-wired-t-shirt-bra-pc-br-6026/13359346/buy,"['clothing', 'women-clothing', 'bra', 'prettycat-bra']","29/11,ROAD NUM 29PUNJABI BAGH ,EXTENSIONDelhi , Delhi - 110026",Buy PrettyCat Women Pink Printed Lightly Padded Non Wired T Shirt Bra PC BR 6026 - Bra for Women from PrettyCat at Rs. 293. Style ID: 13359346,"PrettyCat Women Pink Printed Lightly Padded Non Wired T Shirt Bra PC BR 6026,  PrettyCat, Bra, Innerwear, Apparel, Apparel for Women, Buy PrettyCat Women Pink Printed Lightly Padded Non Wired T Shirt Bra PC BR 6026 Online in India, Buy Bra at best price"
cushion-covers/aura/aura-set-of-2-navy-blue--green-ethnic-motifs-patterned-square-cushion-covers/15417684/buy,"['home-furnishing', 'unisex-home-furnishing', 'cushion-covers', 'aura-cushion-covers']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy Aura Set Of 2 Navy Blue & Green Ethnic Motifs Patterned Square Cushion Covers - Cushion Covers for Unisex from Aura at Rs. 149. Style ID: 15417684,"Aura Set Of 2 Navy Blue & Green Ethnic Motifs Patterned Square Cushion Covers,  Aura, Cushion Covers, Home Furnishing, Home, Home for Unisex, Buy Aura Set Of 2 Navy Blue & Green Ethnic Motifs Patterned Square Cushion Covers Online in India, Buy Cushion Covers at best price"
tshirts/uth-by-roadster/uth-by-roadster-girls-navy-blue-solid-v-neck-pure-cotton-t-shirt/15185430/buy,"['clothing', 'girls-clothing', 'tshirts', 'uth-by-roadster-tshirts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy UTH By Roadster Girls Navy Blue Solid V Neck Pure Cotton T Shirt - Tshirts for Girls from UTH By Roadster at Rs. 174. Style ID: 15185430,"UTH By Roadster Girls Navy Blue Solid V Neck Pure Cotton T Shirt,  UTH By Roadster, Tshirts, Topwear, Apparel, Apparel for Girls, Buy UTH By Roadster Girls Navy Blue Solid V Neck Pure Cotton T Shirt Online in India, Buy Tshirts at best price"
tshirts/ed-a-mamma/ed-a-mamma-boys-blue-typography-colourblocked-applique-t-shirt/18491614/buy,"['clothing', 'boys-clothing', 'tshirts', 'ed-a-mamma-tshirts']","1A GIGI HOUSE SILVER BEACH ESTATEMumbai , Maharashtra - 400054",Buy Ed A Mamma Boys Blue Typography Colourblocked Applique T Shirt - Tshirts for Boys from Ed A Mamma at Rs. 629. Style ID: 18491614,"Ed A Mamma Boys Blue Typography Colourblocked Applique T Shirt,  Ed A Mamma, Tshirts, Topwear, Apparel, Apparel for Boys, Buy Ed A Mamma Boys Blue Typography Colourblocked Applique T Shirt Online in India, Buy Tshirts at best price"
bedsheets/handicraft-palace/handicraft-palace-white--blue-floral-300-tc-queen-bedsheet-with-2-pillow-covers/17949300/buy,"['home-furnishing', 'unisex-home-furnishing', 'bedsheets', 'handicraft-palace-bedsheets']","A-8-A, Raghunath Colony, Delhi RoadJaipur , RAJASTHAN - 302001",Buy HANDICRAFT PALACE White & Blue Floral 300 TC Queen Bedsheet With 2 Pillow Covers - Bedsheets for Unisex from HANDICRAFT PALACE at Rs. 1649. Style ID: 17949300,"HANDICRAFT PALACE White & Blue Floral 300 TC Queen Bedsheet With 2 Pillow Covers,  HANDICRAFT PALACE, Bedsheets, Bedding, Home, Home for Unisex, Buy HANDICRAFT PALACE White & Blue Floral 300 TC Queen Bedsheet With 2 Pillow Covers Online in India, Buy Bedsheets at best price"
nail-polish/juice/juice-set-of-3-one-coat-nail-polishes-with-nail-polish-remover/18303794/buy,"['personal-care', 'women-personal-care', 'nail-polish', 'juice-nail-polish']","Plot No 50, HDIL Industrial Park Chandansar VIRAR(PALGHAR), VIRAR Mumbai , Maharashtra - 401303",Buy JUICE Set Of 3 One Coat Nail Polishes With Nail Polish Remover - Nail Polish for Women from JUICE at Rs. 300. Style ID: 18303794,"JUICE Set Of 3 One Coat Nail Polishes With Nail Polish Remover,  JUICE, Nail Polish, Nails, Personal Care, Personal Care for Women, Buy JUICE Set Of 3 One Coat Nail Polishes With Nail Polish Remover Online in India, Buy Nail Polish at best price"
dresses/aomi/aomi-blue-checked-dress/18108308/buy,"['clothing', 'girls-clothing', 'dresses', 'aomi-dresses']","1st Floor, No 480, 2nd stage IndiranagarOpp BDA complex, Bengaluru, Bengaluru Urban, KarnatakaBengaluru , Karnataka - 560038",Buy Aomi Blue Checked Dress - Dresses for Girls from Aomi at Rs. 629. Style ID: 18108308,"Aomi Blue Checked Dress,  Aomi, Dresses, Dress, Apparel, Apparel for Girls, Buy Aomi Blue Checked Dress Online in India, Buy Dresses at best price"
swim-bottoms/yellow-bee/yellow-bee-boys-yellow--green-printed-palm-tree-swim-bottoms/18300928/buy,"['clothing', 'boys-clothing', 'swim-bottoms', 'yellow-bee-swim-bottoms']","B8 Metropolitan Co-operative Housing Society Limited, EM Bypass, Near Byepass Dhaba, Kolkata,EM Bypass, Near Byepass Dhaba,Kolkata , West Bengal - 700105",Buy Yellow Bee Boys Yellow & Green Printed Palm Tree Swim Bottoms - Swim Bottoms for Boys from Yellow Bee at Rs. 551. Style ID: 18300928,"Yellow Bee Boys Yellow & Green Printed Palm Tree Swim Bottoms,  Yellow Bee, Swim Bottoms, Bottomwear, Apparel, Apparel for Boys, Buy Yellow Bee Boys Yellow & Green Printed Palm Tree Swim Bottoms Online in India, Buy Swim Bottoms at best price"
