prod_link,tags,seller_address,meta_description,meta_keyword
tops/mango/mango-white-pure-cotton-schiffli-embroidered-regular-top/15035382/buy,"['clothing', 'women-clothing', 'tops', 'mango-tops']","406, B2 and C, 4th Floor,Centrum Plaza, Golf Course Road, Sector - 53,Gurugram , Haryana - 122102",Buy MANGO White Pure Cotton Schiffli Embroidered Regular Top - Tops for Women from MANGO at Rs. 1345. Style ID: 15035382,"MANGO White Pure Cotton Schiffli Embroidered Regular Top,  MANGO, Tops, Topwear, Apparel, Apparel for Women, Buy MANGO White Pure Cotton Schiffli Embroidered Regular Top Online in India, Buy Tops at best price"
shorts/van-heusen-sport/van-heusen-sport-men-white-conversational-printed-shorts/16755286/buy,"['clothing', 'men-clothing', 'shorts', 'van-heusen-sport-shorts']","Ground Floor, No 65/64, old No 65, 6th Block, Ward No 21, 2ndMain Road,Bengaluru , Karnataka - 560044",Buy Van Heusen Sport Men White Conversational Printed Shorts - Shorts for Men from Van Heusen Sport at Rs. 1274. Style ID: 16755286,"Van Heusen Sport Men White Conversational Printed Shorts,  Van Heusen Sport, Shorts, Bottomwear, Apparel, Apparel for Men, Buy Van Heusen Sport Men White Conversational Printed Shorts Online in India, Buy Shorts at best price"
shirts/roadster/the-roadster-lifestyle-co-women-navy-blue-denim-casual-shirt/15773376/buy,"['clothing', 'women-clothing', 'shirts', 'roadster-shirts']","5, Anjani Kumar Industrial EstateDutta Mandir Road, Bhandup (West).Mumbai , Maharashtra - 400078",Buy The Roadster Lifestyle Co Women Navy Blue Denim Casual Shirt - Shirts for Women from Roadster at Rs. 949. Style ID: 15773376,"The Roadster Lifestyle Co Women Navy Blue Denim Casual Shirt,  Roadster, Shirts, Topwear, Apparel, Apparel for Women, Buy The Roadster Lifestyle Co Women Navy Blue Denim Casual Shirt Online in India, Buy Shirts at best price"
jewellery-set/panash/panash-gold-plated-white-beaded-jewellery-set/16282390/buy,"['accessories', 'women-accessories', 'jewellery-set', 'panash-jewellery-set']",,Buy PANASH Gold Plated White Beaded Jewellery Set - Jewellery Set for Women from PANASH at Rs. 478. Style ID: 16282390,"PANASH Gold Plated White Beaded Jewellery Set,  PANASH, Jewellery Set, Jewellery, Accessories, Accessories for Women, Buy PANASH Gold Plated White Beaded Jewellery Set Online in India, Buy Jewellery Set at best price"
boots/el-paso/el-paso-green-block-heeled-boots/17005738/buy,"['footwear', 'women-footwear', 'boots', 'el-paso-boots']","89 OLD VIJAY NAGAR COLONY, NEAR VIJAY NAGAR POLICE STATIONAgra , Uttar Pradesh - 282004",Buy El Paso Green Block Heeled Boots - Boots for Women from El Paso at Rs. 995. Style ID: 17005738,"El Paso Green Block Heeled Boots,  El Paso, Boots, Shoes, Footwear, Footwear for Women, Buy El Paso Green Block Heeled Boots Online in India, Buy Boots at best price"
lounge-pants/sweet-dreams/-sweet-dreams-women-mauve---white-printed-cotton-lounge-pants/18695842/buy,"['clothing', 'women-clothing', 'lounge-pants', 'sweet-dreams-lounge-pants']","D140 PHASE 7, INDUSTRIAL AREARupnagar , Punjab - 160055",Buy Sweet Dreams Women Mauve  & White Printed Cotton Lounge Pants - Lounge Pants for Women from Sweet Dreams at Rs. 629. Style ID: 18695842,"Sweet Dreams Women Mauve  & White Printed Cotton Lounge Pants,  Sweet Dreams, Lounge Pants, Loungewear And Nightwear, Apparel, Apparel for Women, Buy Sweet Dreams Women Mauve  & White Printed Cotton Lounge Pants Online in India, Buy Lounge Pants at best price"
handbags/lavie/lavie-navy-blue-solid-pu-small-structured-sling-bag/14964948/buy,"['accessories', 'women-accessories', 'handbags', 'lavie-handbags']","Cabin No. 6, Property 2, Gujarat Vihar, Vikas Marg, New Delhi, Delhi, 110092Delhi , Delhi - 110092",Buy Lavie Navy Blue Solid PU Small Structured Sling Bag - Handbags for Women from Lavie at Rs. 664. Style ID: 14964948,"Lavie Navy Blue Solid PU Small Structured Sling Bag,  Lavie, Handbags, Bags, Accessories, Accessories for Women, Buy Lavie Navy Blue Solid PU Small Structured Sling Bag Online in India, Buy Handbags at best price"
saree-blouse/inddus/inddus-women-black-solid-saree-blouse/9887827/buy,"['clothing', 'women-clothing', 'saree-blouse', 'inddus-saree-blouse']",,Buy Inddus Women Black Solid Saree Blouse - Saree Blouse for Women from Inddus at Rs. 659. Style ID: 9887827,"Inddus Women Black Solid Saree Blouse,  Inddus, Saree Blouse, Saree, Apparel, Apparel for Women, Buy Inddus Women Black Solid Saree Blouse Online in India, Buy Saree Blouse at best price"
tops/street-9/street-9-green-print-chiffon-top/18195632/buy,"['clothing', 'women-clothing', 'tops', 'street-9-tops']","D-142 INDL Area GNEPIP, KasnaNoida , Uttar Pradesh - 201310",Buy STREET 9 Gorgeous Green Self Design Top - Tops for Women from STREET 9 at Rs. 591. Style ID: 18195632,"STREET 9 Gorgeous Green Self Design Top,  STREET 9, Tops, Topwear, Apparel, Apparel for Women, Buy STREET 9 Gorgeous Green Self Design Top Online in India, Buy Tops at best price"
clothing-set/allen-solly-junior/allen-solly-junior-boys-navy-blue-printed-pure-cotton-t-shirt-with-shorts/16936720/buy,"['clothing', 'boys-clothing', 'clothing-set', 'allen-solly-junior-clothing-set']","Ground Floor, No 65/64, old No 65, 6th Block, Ward No 21, 2ndMain Road,Bengaluru , Karnataka - 560044",Buy Allen Solly Junior Boys Navy Blue Printed Pure Cotton T Shirt With Shorts - Clothing Set for Boys from Allen Solly Junior at Rs. 699. Style ID: 16936720,"Allen Solly Junior Boys Navy Blue Printed Pure Cotton T Shirt With Shorts,  Allen Solly Junior, Clothing Set, Apparel Set, Apparel, Apparel for Boys, Buy Allen Solly Junior Boys Navy Blue Printed Pure Cotton T Shirt With Shorts Online in India, Buy Clothing Set at best price"
