prod_link,tags,seller_address,meta_description,meta_keyword
handbags/mast--harbour/mast--harbour-brown-textured-handheld-bag/15322790/buy,"['accessories', 'women-accessories', 'handbags', 'mast-and-harbour-handbags']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Brown Textured Handheld Bag - Handbags for Women from Mast & Harbour at Rs. 1199. Style ID: 15322790,"Mast & Harbour Brown Textured Handheld Bag,  Mast & Harbour, Handbags, Bags, Accessories, Accessories for Women, Buy Mast & Harbour Brown Textured Handheld Bag Online in India, Buy Handbags at best price"
tshirts/united-colors-of-benetton/united-colors-of-benetton-men-grey-striped-polo-collar-pure-cotton-t-shirt/17841856/buy,"['clothing', 'men-clothing', 'tshirts', 'united-colors-of-benetton-tshirts']","Village Babra Bakipur, Pataudi Road,Near Adani Logistic Park, ICD PatliGurugram , Haryana - 122503",Buy United Colors Of Benetton Men Grey Striped Polo Collar Pure Cotton T Shirt - Tshirts for Men from United Colors Of Benetton at Rs. 1609. Style ID: 17841856,"United Colors Of Benetton Men Grey Striped Polo Collar Pure Cotton T Shirt,  United Colors Of Benetton, Tshirts, Topwear, Apparel, Apparel for Men, Buy United Colors Of Benetton Men Grey Striped Polo Collar Pure Cotton T Shirt Online in India, Buy Tshirts at best price"
dupatta/anayna/anayna-maroon--white-striped-pure-cotton-dupatta-with-gotta-patti/17351582/buy,"['clothing', 'women-clothing', 'dupatta', 'anayna-dupatta']",,Buy Anayna Maroon & White Striped Pure Cotton Dupatta With Gotta Patti - Dupatta for Women from Anayna at Rs. 594. Style ID: 17351582,"Anayna Maroon & White Striped Pure Cotton Dupatta With Gotta Patti,  Anayna, Dupatta, Topwear, Apparel, Apparel for Women, Buy Anayna Maroon & White Striped Pure Cotton Dupatta With Gotta Patti Online in India, Buy Dupatta at best price"
leggings/tag-7/tag-7-pack-of-2-black-ankle-length-leggings/17767306/buy,"['clothing', 'women-clothing', 'leggings', 'tag-7-leggings']","B-7/1 RANA PARTAP BAGH, OPP COMMUNITY CENTERDelhi , Delhi - 110007",Buy TAG 7 Pack Of 2 Black Ankle Length Leggings - Leggings for Women from TAG 7 at Rs. 791. Style ID: 17767306,"TAG 7 Pack Of 2 Black Ankle Length Leggings,  TAG 7, Leggings, Bottomwear, Apparel, Apparel for Women, Buy TAG 7 Pack Of 2 Black Ankle Length Leggings Online in India, Buy Leggings at best price"
kurta-sets/ishin/ishin-women-blue--gold-toned-embroidered-kurti-with-skirt--dupatta/13379722/buy,"['clothing', 'women-clothing', 'kurta-sets', 'ishin-kurta-sets']","2nd Floor, NO. 39, NGEF Lane, Indiranagar First StageBangaloreBengaluru , Karnataka - 560038",Buy Ishin Women Blue & Gold Toned Embroidered Kurti With Skirt & Dupatta - Kurta Sets for Women from Ishin at Rs. 3059. Style ID: 13379722,"Ishin Women Blue & Gold Toned Embroidered Kurti With Skirt & Dupatta,  Ishin, Kurta Sets, Apparel Set, Apparel, Apparel for Women, Buy Ishin Women Blue & Gold Toned Embroidered Kurti With Skirt & Dupatta Online in India, Buy Kurta Sets at best price"
tops/vero-moda/vero-moda-blue--white-striped-off-shoulder-bardot-top/14067142/buy,"['clothing', 'women-clothing', 'tops', 'vero-moda-tops']","4th floor, The Lalit Residency, The Lalit Mumbai, Sahar Airport Road, Andheri east, Mumbai Suburban, Maharashtra, 400059Mumbai , Maharashtra - 400059",Buy Vero Moda Blue & White Striped Off Shoulder Bardot Top - Tops for Women from Vero Moda at Rs. 919. Style ID: 14067142,"Vero Moda Blue & White Striped Off Shoulder Bardot Top,  Vero Moda, Tops, Topwear, Apparel, Apparel for Women, Buy Vero Moda Blue & White Striped Off Shoulder Bardot Top Online in India, Buy Tops at best price"
cookware/wonderchef/wonderchef-black-solid-paniyarakkal-die-cast-cookware/14822718/buy,"['home-furnishing', 'unisex-home-furnishing', 'cookware', 'wonderchef-cookware']","New ERA warehouse and Industrial complex Survey No 91/4, Vilatalganga , Rasayni, District RaigadKarjat - raigarh , Maharashtra - 410220",Buy Wonderchef Black Solid Paniyarakkal Die Cast Cookware - Cookware for Unisex from Wonderchef at Rs. 1700. Style ID: 14822718,"Wonderchef Black Solid Paniyarakkal Die Cast Cookware,  Wonderchef, Cookware, Kitchen And Dining, Home, Home for Unisex, Buy Wonderchef Black Solid Paniyarakkal Die Cast Cookware Online in India, Buy Cookware at best price"
table-lamps/green-girgit/green-girgit-off-white--blue-leaf-printed-contemporary-table-lamp/12833090/buy,"['home-furnishing', 'unisex-home-furnishing', 'table-lamps', 'green-girgit-table-lamps']","110046 Surajkund roadFaridabad , Haryana - 121001",Buy Green Girgit Off White & Blue Leaf Printed Contemporary Table Lamp - Table Lamps for Unisex from Green Girgit at Rs. 1320. Style ID: 12833090,"Green Girgit Off White & Blue Leaf Printed Contemporary Table Lamp,  Green Girgit, Table Lamps, Home Decor, Home, Home for Unisex, Buy Green Girgit Off White & Blue Leaf Printed Contemporary Table Lamp Online in India, Buy Table Lamps at best price"
lounge-tshirts/clovia/clovia-women-pack-of-3-assorted-cotton-lounge-t-shirt/17021500/buy,"['clothing', 'women-clothing', 'lounge-tshirts', 'clovia-lounge-tshirts']","Plot No. 186, Outer Firni Lal Dora,Bajghera,Gurugram , Haryana - 122017",Buy Clovia Women Pack Of 3 Assorted Cotton Lounge T Shirt - Lounge Tshirts for Women from Clovia at Rs. 754. Style ID: 17021500,"Clovia Women Pack Of 3 Assorted Cotton Lounge T Shirt,  Clovia, Lounge Tshirts, Loungewear And Nightwear, Apparel, Apparel for Women, Buy Clovia Women Pack Of 3 Assorted Cotton Lounge T Shirt Online in India, Buy Lounge Tshirts at best price"
perfume-and-body-mist/marks--spencer/marks--spencers-men-amber-body-spray-150ml/10239801/buy,"['personal-care', 'men-personal-care', 'perfume-and-body-mist', 'marks-and-spencer-perfume-and-body-mist']","Marks & Spencer Reliance India Pvt LtdInfinity Tower C, Ground FloorGurugram , Haryana - 122002",Buy Marks & Spencers Men Amber Body Spray 150ml - Perfume And Body Mist for Men from Marks & Spencer at Rs. 524. Style ID: 10239801,"Marks & Spencers Men Amber Body Spray 150ml,  Marks & Spencer, Perfume And Body Mist, Fragrance, Personal Care, Personal Care for Men, Buy Marks & Spencers Men Amber Body Spray 150ml Online in India, Buy Perfume And Body Mist at best price"
tops/herenow/herenow-women-white--red-geometric-embroidered-top/18286260/buy,"['clothing', 'women-clothing', 'tops', 'here-and-now-tops']","plot no 200 G Block Street no 8ARatia marg Sangam vihar New DelhiNEWDELHI , DELHI - 110062",Buy HERE&NOW Women White & Red Geometric Embroidered Top - Tops for Women from HERE&NOW at Rs. 559. Style ID: 18286260,"HERE&NOW Women White & Red Geometric Embroidered Top,  HERE&NOW, Tops, Topwear, Apparel, Apparel for Women, Buy HERE&NOW Women White & Red Geometric Embroidered Top Online in India, Buy Tops at best price"
tshirts/scorpius/scorpius-women-blue-solid-round-neck-t-shirt/13797982/buy,"['clothing', 'women-clothing', 'tshirts', 'scorpius-tshirts']","A-20, Indrapark 2Nd Floor, Najafgarh Delhi Delhi 110043Delhi , Delhi - 110043",Buy SCORPIUS Women Blue Solid Round Neck T Shirt - Tshirts for Women from SCORPIUS at Rs. 599. Style ID: 13797982,"SCORPIUS Women Blue Solid Round Neck T Shirt,  SCORPIUS, Tshirts, Topwear, Apparel, Apparel for Women, Buy SCORPIUS Women Blue Solid Round Neck T Shirt Online in India, Buy Tshirts at best price"
shirts/spykar/spykar-men-burgundy--white-slim-fit-striped-casual-longline-shirt/10883248/buy,"['clothing', 'men-clothing', 'shirts', 'spykar-shirts']","19th Floor, F Wing, Lotus Corporate Park, Off Western Express Highway, Goregaon East, Mumbai 400063Mumbai , Maharashtra - 400063",Buy SPYKAR Men Burgundy & White Slim Fit Striped Casual Longline Shirt - Shirts for Men from SPYKAR at Rs. 896. Style ID: 10883248,"SPYKAR Men Burgundy & White Slim Fit Striped Casual Longline Shirt,  SPYKAR, Shirts, Topwear, Apparel, Apparel for Men, Buy SPYKAR Men Burgundy & White Slim Fit Striped Casual Longline Shirt Online in India, Buy Shirts at best price"
dresses/rare/rare-women-navy-blue--white-striped-midi-a-line-dress-with-printed-detail/8834915/buy,"['clothing', 'women-clothing', 'dresses', 'rare-dresses']","EPIC BRANDS PVT LTDD-19, FIRST FLOOR, PHASE-1, OKHLADelhi , Delhi - 110020",Buy RARE Women Navy Blue & White Striped Midi A Line Dress With Printed Detail - Dresses for Women from RARE at Rs. 759. Style ID: 8834915,"RARE Women Navy Blue & White Striped Midi A Line Dress With Printed Detail,  RARE, Dresses, Dress, Apparel, Apparel for Women, Buy RARE Women Navy Blue & White Striped Midi A Line Dress With Printed Detail Online in India, Buy Dresses at best price"
bra/lebami/lebami-black-non-padded--non-wired-solid-bandeau-bra/17869872/buy,"['clothing', 'women-clothing', 'bra', 'lebami-bra']","GROUND FLOOR, H.NO-109A, GALI NO-8,MEETHAPUR EXTN 2, BADARPUR, SOUTH DELHI, DELHI,Delhi , Delhi - 110044",Buy Lebami Black Non Padded & Non Wired Solid Bandeau Bra - Bra for Women from Lebami at Rs. 479. Style ID: 17869872,"Lebami Black Non Padded & Non Wired Solid Bandeau Bra,  Lebami, Bra, Innerwear, Apparel, Apparel for Women, Buy Lebami Black Non Padded & Non Wired Solid Bandeau Bra Online in India, Buy Bra at best price"
tshirts/roadster/roadster-men-mint-green--white-colourblocked-round-neck-pure-cotton-t-shirt/12907388/buy,"['clothing', 'men-clothing', 'tshirts', 'roadster-tshirts']","406, B2 and C, 4th Floor,Centrum Plaza, Golf Course Road, Sector - 53,Gurugram , Haryana - 122102",Buy Roadster Men Mint Green  White Colourblocked Round Neck Pure Cotton T Shirt - Tshirts for Men from Roadster at Rs. 499. Style ID: 12907388,"Roadster Men Mint Green  White Colourblocked Round Neck Pure Cotton T Shirt,  Roadster, Tshirts, Topwear, Apparel, Apparel for Men, Buy Roadster Men Mint Green  White Colourblocked Round Neck Pure Cotton T Shirt Online in India, Buy Tshirts at best price"
shirts/peter-england/peter-england-men-blue-slim-fit-opaque-formal-shirt/15884790/buy,"['clothing', 'men-clothing', 'shirts', 'peter-england-shirts']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy Peter England Men Blue Slim Fit Opaque Formal Shirt - Shirts for Men from Peter England at Rs. 959. Style ID: 15884790,"Peter England Men Blue Slim Fit Opaque Formal Shirt,  Peter England, Shirts, Topwear, Apparel, Apparel for Men, Buy Peter England Men Blue Slim Fit Opaque Formal Shirt Online in India, Buy Shirts at best price"
sports-sandals/vento/vento-grey--white-solid-sports-sandals/15227460/buy,"['footwear', 'unisex-footwear', 'sports-sandals', 'vento-sports-sandals']","401, Kanakia Zillon, LBS Marg, CST Road JunctionMumbai , Maharashtra - 400070",Buy Vento Grey & White Solid Sports Sandals - Sports Sandals for Unisex from Vento at Rs. 976. Style ID: 15227460,"Vento Grey & White Solid Sports Sandals,  Vento, Sports Sandals, Sandal, Footwear, Footwear for Unisex, Buy Vento Grey & White Solid Sports Sandals Online in India, Buy Sports Sandals at best price"
