prod_link,tags,seller_address,meta_description,meta_keyword
organisers/kuber-industries/kuber-industries-set-of-12-brown-wooden-printed-non-woven-saree-cover-organizers/14536834/buy,"['home-furnishing', 'unisex-home-furnishing', 'organisers', 'kuber-industries-organisers']","79, RAM NAGAR A, TOLL TAX, TONK ROAD , SANGANER,PRATAP NAGAR, Jaipur, Rajasthan, 302033Jaipur , Rajasthan - 302033",Buy Kuber Industries Set Of 12 Brown Wooden Printed Non Woven Saree Cover Organizers - Organisers for Unisex from Kuber Industries at Rs. 797. Style ID: 14536834,"Kuber Industries Set Of 12 Brown Wooden Printed Non Woven Saree Cover Organizers,  Kuber Industries, Organisers, Home Organisers, Home, Home for Unisex, Buy Kuber Industries Set Of 12 Brown Wooden Printed Non Woven Saree Cover Organizers Online in India, Buy Organisers at best price"
shirts/flying-machine/flying-machine-men-navy-blue--black-slim-fit-checked-casual-shirt/14544694/buy,"['clothing', 'men-clothing', 'shirts', 'flying-machine-shirts']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy Flying Machine Men Navy Blue & Black Slim Fit Checked Casual Shirt - Shirts for Men from Flying Machine at Rs. 1044. Style ID: 14544694,"Flying Machine Men Navy Blue & Black Slim Fit Checked Casual Shirt,  Flying Machine, Shirts, Topwear, Apparel, Apparel for Men, Buy Flying Machine Men Navy Blue & Black Slim Fit Checked Casual Shirt Online in India, Buy Shirts at best price"
heels/roadster/the-roadster-lifestyle-co-brown--black-colourblocked-block-heels/15971774/buy,"['footwear', 'women-footwear', 'heels', 'roadster-heels']","406, B2 and C, 4th Floor,Centrum Plaza, Golf Course Road, Sector - 53,Gurugram , Haryana - 122102",Buy The Roadster Lifestyle Co Brown & Black Colourblocked Block Heels - Heels for Women from Roadster at Rs. 869. Style ID: 15971774,"The Roadster Lifestyle Co Brown & Black Colourblocked Block Heels,  Roadster, Heels, Shoes, Footwear, Footwear for Women, Buy The Roadster Lifestyle Co Brown & Black Colourblocked Block Heels Online in India, Buy Heels at best price"
shorts/van-heusen-flex/van-heusen-flex-men-teal-blue-solid-mid-rise-regular-fit-shorts/17600282/buy,"['clothing', 'men-clothing', 'shorts', 'van-heusen-flex-shorts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy Van Heusen Flex Men Teal Blue Solid Mid Rise Regular Fit Shorts - Shorts for Men from Van Heusen Flex at Rs. 1299. Style ID: 17600282,"Van Heusen Flex Men Teal Blue Solid Mid Rise Regular Fit Shorts,  Van Heusen Flex, Shorts, Bottomwear, Apparel, Apparel for Men, Buy Van Heusen Flex Men Teal Blue Solid Mid Rise Regular Fit Shorts Online in India, Buy Shorts at best price"
bra/triumph/triumph-t-shirt-bra-60-invisible-padded-wireless-body-make-up-series-seamless-everyday-bra/17137714/buy,"['clothing', 'women-clothing', 'bra', 'triumph-bra']","No . 397/1, Parvathi Nilaya, Basavannagudi Main RoadBengaluru , Karnataka - 560068",Buy Triumph T Shirt Bra 60 Invisible Padded Wireless Body Make Up Series Seamless Everyday Bra - Bra for Women from Triumph at Rs. 1899. Style ID: 17137714,"Triumph T Shirt Bra 60 Invisible Padded Wireless Body Make Up Series Seamless Everyday Bra,  Triumph, Bra, Innerwear, Apparel, Apparel for Women, Buy Triumph T Shirt Bra 60 Invisible Padded Wireless Body Make Up Series Seamless Everyday Bra Online in India, Buy Bra at best price"
dresses/anouk/anouk-coral-red-dobby-weaved-a-line-midi-dress/16271218/buy,"['clothing', 'women-clothing', 'dresses', 'anouk-dresses']","Cabin No. 6, Property 2, Gujarat Vihar, Vikas Marg, New Delhi, Delhi, 110092Delhi , Delhi - 110092",Buy Anouk Coral Red Dobby Weaved A Line Midi Dress - Dresses for Women from Anouk at Rs. 989. Style ID: 16271218,"Anouk Coral Red Dobby Weaved A Line Midi Dress,  Anouk, Dresses, Dress, Apparel, Apparel for Women, Buy Anouk Coral Red Dobby Weaved A Line Midi Dress Online in India, Buy Dresses at best price"
handbags/mast--harbour/mast--harbour-tan-solid-structured-sling-bag/14980540/buy,"['accessories', 'women-accessories', 'handbags', 'mast-and-harbour-handbags']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Tan Solid Structured Sling Bag - Handbags for Women from Mast & Harbour at Rs. 1349. Style ID: 14980540,"Mast & Harbour Tan Solid Structured Sling Bag,  Mast & Harbour, Handbags, Bags, Accessories, Accessories for Women, Buy Mast & Harbour Tan Solid Structured Sling Bag Online in India, Buy Handbags at best price"
casual-shoes/geox/geox-men-grey-sneakers/15654462/buy,"['footwear', 'men-footwear', 'casual-shoes', 'geox-casual-shoes']","G-6, NDSE-I, New Delhi,,Delhi,IndiaNew Delhi , Delhi - 110049",Buy Geox Men Grey Sneakers - Casual Shoes for Men from Geox at Rs. 8394. Style ID: 15654462,"Geox Men Grey Sneakers,  Geox, Casual Shoes, Shoes, Footwear, Footwear for Men, Buy Geox Men Grey Sneakers Online in India, Buy Casual Shoes at best price"
watches/boxer/boxer-men-black-analogue-and-digital-watch-bg00193/12800098/buy,"['accessories', 'men-accessories', 'watches', 'boxer-watches']","NL-4, Building No-8, Room No-6, Sector-1, NerulMumbai , Maharashtra - 400706",Buy BOXER Men Black Analogue And Digital Watch BG00193 - Watches for Men from BOXER at Rs. 900. Style ID: 12800098,"BOXER Men Black Analogue And Digital Watch BG00193,  BOXER, Watches, Watches, Accessories, Accessories for Men, Buy BOXER Men Black Analogue And Digital Watch BG00193 Online in India, Buy Watches at best price"
tshirts/polonium/polonium-men-beige-striped-extended-sleeves-monochrome-stretchex-t-shirt/18707530/buy,"['clothing', 'men-clothing', 'tshirts', 'polonium-tshirts']","SA-104, SHRIRAM SPANDHANA APARTMENTSCHALLAGHATTA, BANGALORE.Bengaluru , Karnataka - 560037",Buy POLONIUM Men Beige Striped Extended Sleeves Monochrome Stretchex T Shirt - Tshirts for Men from POLONIUM at Rs. 449. Style ID: 18707530,"POLONIUM Men Beige Striped Extended Sleeves Monochrome Stretchex T Shirt,  POLONIUM, Tshirts, Topwear, Apparel, Apparel for Men, Buy POLONIUM Men Beige Striped Extended Sleeves Monochrome Stretchex T Shirt Online in India, Buy Tshirts at best price"
casual-shoes/bata/bata-men-brown-solid-pu-lace-up-sneakers/16627950/buy,"['footwear', 'men-footwear', 'casual-shoes', 'bata-casual-shoes']","BATA INDIA LTDGurugram , Haryana - 122504",Buy Bata Men Brown Solid PU Lace Up Sneakers - Casual Shoes for Men from Bata at Rs. 1799. Style ID: 16627950,"Bata Men Brown Solid PU Lace Up Sneakers,  Bata, Casual Shoes, Shoes, Footwear, Footwear for Men, Buy Bata Men Brown Solid PU Lace Up Sneakers Online in India, Buy Casual Shoes at best price"
casual-shoes/bacca-bucci/bacca-bucci-men-black-pu-sneakers/14488332/buy,"['footwear', 'men-footwear', 'casual-shoes', 'bacca-bucci-casual-shoes']","G-152, Gazipur Village, Near Edmc School New Delhi Delhi 110096New Delhi , Delhi - 110096",Buy Bacca Bucci Men Black PU Sneakers - Casual Shoes for Men from Bacca Bucci at Rs. 1499. Style ID: 14488332,"Bacca Bucci Men Black PU Sneakers,  Bacca Bucci, Casual Shoes, Shoes, Footwear, Footwear for Men, Buy Bacca Bucci Men Black PU Sneakers Online in India, Buy Casual Shoes at best price"
bra/innocence/innocence-white-self-design-non-wired-non-padded-everyday-bra-bbaplin9018528b/12370280/buy,"['clothing', 'women-clothing', 'bra', 'innocence-bra']","4265Gali BahujiPahari Dhiraj Sadar BazaarNorth DelhiDelhi , Delhi - 110006",Buy Innocence White Self Design Non Wired Non Padded Everyday Bra BBAPLIN90185_28B - Bra for Women from Innocence at Rs. 211. Style ID: 12370280,"Innocence White Self Design Non Wired Non Padded Everyday Bra BBAPLIN90185_28B,  Innocence, Bra, Innerwear, Apparel, Apparel for Women, Buy Innocence White Self Design Non Wired Non Padded Everyday Bra BBAPLIN90185_28B Online in India, Buy Bra at best price"
heels/carlton-london/carlton-london-women-peach-coloured-croc-textured-pumps/18154148/buy,"['footwear', 'women-footwear', 'heels', 'carlton-london-heels']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy Carlton London Women Peach Coloured Croc Textured Pumps - Heels for Women from Carlton London at Rs. 1816. Style ID: 18154148,"Carlton London Women Peach Coloured Croc Textured Pumps,  Carlton London, Heels, Shoes, Footwear, Footwear for Women, Buy Carlton London Women Peach Coloured Croc Textured Pumps Online in India, Buy Heels at best price"
bra/dazzle/dazzle-white-bra/17940664/buy,"['clothing', 'women-clothing', 'bra', 'dazzle-bra']","2ND FLOOR, 206,207,208, COSMOS PLATINUM,GOKHALE ROAD, DADAR WEST, Mumbai City, Maharashtra, 400028Mumbai , Maharashtra - 400028",Buy Dazzle White Bra - Bra for Women from Dazzle at Rs. 1180. Style ID: 17940664,"Dazzle White Bra,  Dazzle, Bra, Innerwear, Apparel, Apparel for Women, Buy Dazzle White Bra Online in India, Buy Bra at best price"
