prod_link,tags,seller_address,meta_description,meta_keyword
heels/elle/elle-black-stiletto-with-tassels/18231062/buy,"['footwear', 'women-footwear', 'heels', 'elle-heels']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy ELLE Black Platform Heels - Heels for Women from ELLE at Rs. 1619. Style ID: 18231062,"ELLE Black Platform Heels,  ELLE, Heels, Shoes, Footwear, Footwear for Women, Buy ELLE Black Platform Heels Online in India, Buy Heels at best price"
trunk/xyxx/xyxx-men-pack-of-2-solid-trunks-xytrnk2pckn364/13682872/buy,"['clothing', 'men-clothing', 'trunk', 'xyxx-trunk']","406 TO 414, SANGINI TEXTILE HUB -B,SAROLI,Surat , Gujarat - 395010",Buy XYXX Men Pack Of 2 Solid Trunks XYTRNK2PCKN364 - Trunk for Men from XYXX at Rs. 469. Style ID: 13682872,"XYXX Men Pack Of 2 Solid Trunks XYTRNK2PCKN364,  XYXX, Trunk, Innerwear, Apparel, Apparel for Men, Buy XYXX Men Pack Of 2 Solid Trunks XYTRNK2PCKN364 Online in India, Buy Trunk at best price"
dresses/anouk/anouk-women-navy-blue--red-printed-fit--flare-dress/15407000/buy,"['clothing', 'women-clothing', 'dresses', 'anouk-dresses']","PLOT NO. 17, GORJIWALA INDUSTRIAL ESTATE, OPP. CHURCH,NR. SAFARI COMPLEX, BHESTAN CANALSurat , Gujarat - 395023",Buy Anouk Women Navy Blue & Red Printed Fit & Flare Dress - Dresses for Women from Anouk at Rs. 759. Style ID: 15407000,"Anouk Women Navy Blue & Red Printed Fit & Flare Dress,  Anouk, Dresses, Dress, Apparel, Apparel for Women, Buy Anouk Women Navy Blue & Red Printed Fit & Flare Dress Online in India, Buy Dresses at best price"
tunics/global-desi/global-desi-women-mustard-yellow-self-design-tunic-with-embroidered-detail/11506814/buy,"['clothing', 'women-clothing', 'tunics', 'global-desi-tunics']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy Global Desi Women Mustard Yellow Self Design Tunic With Embroidered Detail - Tunics for Women from Global Desi at Rs. 549. Style ID: 11506814,"Global Desi Women Mustard Yellow Self Design Tunic With Embroidered Detail,  Global Desi, Tunics, Topwear, Apparel, Apparel for Women, Buy Global Desi Women Mustard Yellow Self Design Tunic With Embroidered Detail Online in India, Buy Tunics at best price"
heels/zapatoz/zapatoz-tan-textured-flatform-sandals/14961992/buy,"['footwear', 'women-footwear', 'heels', 'zapatoz-heels']","RZ F 3 A Gali no 4 Veer Nagar West Sagar PurNew Delhi , Delhi - 110046",Buy ZAPATOZ Tan Textured Flatform Sandals - Heels for Women from ZAPATOZ at Rs. 849. Style ID: 14961992,"ZAPATOZ Tan Textured Flatform Sandals,  ZAPATOZ, Heels, Shoes, Footwear, Footwear for Women, Buy ZAPATOZ Tan Textured Flatform Sandals Online in India, Buy Heels at best price"
lounge-shorts/us-polo-assn/u-s-polo-assn-men-black--navy-blue-checked-lounge-shorts/14110922/buy,"['clothing', 'men-clothing', 'lounge-shorts', 'u.s.-polo-assn.-lounge-shorts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy U S Polo Assn Men Black & Navy Blue Checked Lounge Shorts - Lounge Shorts for Men from U.S. Polo Assn. at Rs. 899. Style ID: 14110922,"U S Polo Assn Men Black & Navy Blue Checked Lounge Shorts,  U.S. Polo Assn., Lounge Shorts, Loungewear And Nightwear, Apparel, Apparel for Men, Buy U S Polo Assn Men Black & Navy Blue Checked Lounge Shorts Online in India, Buy Lounge Shorts at best price"
tops/la-zoire/la-zoire-women-navy-blue-solid-top/7269103/buy,"['clothing', 'women-clothing', 'tops', 'la-zoire-tops']","TA - 10B, Third Floor, Main Jaghdamba Road,Tughlakabad Extension,Delhi , Delhi - 110019",Buy La Zoire Women Navy Blue Solid Top - Tops for Women from La Zoire at Rs. 545. Style ID: 7269103,"La Zoire Women Navy Blue Solid Top,  La Zoire, Tops, Topwear, Apparel, Apparel for Women, Buy La Zoire Women Navy Blue Solid Top Online in India, Buy Tops at best price"
shorts/rute/rute-women-plus-size-black-solid-slim-fit-regular-shorts/13655298/buy,"['clothing', 'women-clothing', 'shorts', 'rute-shorts']","Gali No 1, H.No 3, Hari Nagar, Anaj Mandi,Khandsa Road, Gurugram, Gurgaon, HaryanaGurugram , Haryana - 122001",Buy Rute Women Plus Size Black Solid Slim Fit Regular Shorts - Shorts for Women from Rute at Rs. 839. Style ID: 13655298,"Rute Women Plus Size Black Solid Slim Fit Regular Shorts,  Rute, Shorts, Bottomwear, Apparel, Apparel for Women, Buy Rute Women Plus Size Black Solid Slim Fit Regular Shorts Online in India, Buy Shorts at best price"
boots/hm/hm-women-off-white-knee-high-boots/16653502/buy,"['footwear', 'women-footwear', 'boots', 'h-and-m-boots']","Prakhhyat Infraprojects PVT. LTD., BUILDING 6, K-Square Logistics Park C/O LF LogisticsNear Padgha Toll Naka on MUMBAI-NASIKThane , Maharashtra - 421101",Buy H&M Women Off White Knee High Boots - Boots for Women from H&M at Rs. 3999. Style ID: 16653502,"H&M Women Off White Knee High Boots,  H&M, Boots, Shoes, Footwear, Footwear for Women, Buy H&M Women Off White Knee High Boots Online in India, Buy Boots at best price"
casual-shoes/kids-ville/kids-ville-boys-black-spider-man-colourblocked-sneakers/16696722/buy,"['footwear', 'boys-footwear', 'casual-shoes', 'kids-ville-casual-shoes']","PLOT NO. 14, IMT MANESAR, SECTOR 4, GURGAON, Gurgaon,Haryana, 122052Gurgaon , Haryana - 122052",Buy Kids Ville Boys Black Spider Man Colourblocked Sneakers - Casual Shoes for Boys from Kids Ville at Rs. 1299. Style ID: 16696722,"Kids Ville Boys Black Spider Man Colourblocked Sneakers,  Kids Ville, Casual Shoes, Shoes, Footwear, Footwear for Boys, Buy Kids Ville Boys Black Spider Man Colourblocked Sneakers Online in India, Buy Casual Shoes at best price"
trousers/jaipur-attire/jaipur-attire-women-brown-solid-cigarette-trousers/15204110/buy,"['clothing', 'women-clothing', 'trousers', 'jaipur-attire-trousers']","D-82, ROAD NO.7V.K.I. AREA, BEHIND AMAZONJaipur , Rajasthan - 302013",Buy JAIPUR ATTIRE Women Brown Solid Cigarette Trousers - Trousers for Women from JAIPUR ATTIRE at Rs. 479. Style ID: 15204110,"JAIPUR ATTIRE Women Brown Solid Cigarette Trousers,  JAIPUR ATTIRE, Trousers, Bottomwear, Apparel, Apparel for Women, Buy JAIPUR ATTIRE Women Brown Solid Cigarette Trousers Online in India, Buy Trousers at best price"
heels/dressberry/dressberry-women-blue-strappy-one-toe-heels/14269520/buy,"['footwear', 'women-footwear', 'heels', 'dressberry-heels']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy DressBerry Women Blue Strappy One Toe Heels - Heels for Women from DressBerry at Rs. 1159. Style ID: 14269520,"DressBerry Women Blue Strappy One Toe Heels,  DressBerry, Heels, Shoes, Footwear, Footwear for Women, Buy DressBerry Women Blue Strappy One Toe Heels Online in India, Buy Heels at best price"
casual-shoes/woakers/woakers-men-blue-textured-oxfords/17789074/buy,"['footwear', 'men-footwear', 'casual-shoes', 'woakers-casual-shoes']","AJJUDH PURAM BAGDA TAHSIL AGRA U.PAgra , UTTAR PRADESH - 282001",Buy Woakers Men Blue Textured Oxfords - Casual Shoes for Men from Woakers at Rs. 659. Style ID: 17789074,"Woakers Men Blue Textured Oxfords,  Woakers, Casual Shoes, Shoes, Footwear, Footwear for Men, Buy Woakers Men Blue Textured Oxfords Online in India, Buy Casual Shoes at best price"
flats/shuz-touch/shuz-touch-women-lavender-solid-t-strap-flats/18232682/buy,"['footwear', 'women-footwear', 'flats', 'shuz-touch-flats']","5650/78, REGHAR PURAKAROL BAGHDelhi , Delhi - 110005",Buy SHUZ TOUCH Women Lavender Solid T Strap Flats - Flats for Women from SHUZ TOUCH at Rs. 988. Style ID: 18232682,"SHUZ TOUCH Women Lavender Solid T Strap Flats,  SHUZ TOUCH, Flats, Shoes, Footwear, Footwear for Women, Buy SHUZ TOUCH Women Lavender Solid T Strap Flats Online in India, Buy Flats at best price"
dresses/swishchick/swishchick-red-striped-maternity-maxi-dress/17643818/buy,"['clothing', 'women-clothing', 'dresses', 'swishchick-dresses']","49/16, 1st Main Road, Shastri Nagar,AdyarChennai , Tamilnadu - 600020",Buy Swishchick Red Striped Maternity Maxi Dress - Dresses for Women from Swishchick at Rs. 1814. Style ID: 17643818,"Swishchick Red Striped Maternity Maxi Dress,  Swishchick, Dresses, Dress, Apparel, Apparel for Women, Buy Swishchick Red Striped Maternity Maxi Dress Online in India, Buy Dresses at best price"
