prod_link,tags,seller_address,meta_description,meta_keyword
shorts/hellcat/hellcat-boys-navy-blue-shorts/18039516/buy,"['clothing', 'boys-clothing', 'shorts', 'hellcat-shorts']","Bodyglove Apparel India, No.21, Muthusamy 6th Cross street,College Road, Tirupur - 641602Tirupur , Tamilnadu - 641602",Buy HELLCAT Boys Navy Blue Shorts - Shorts for Boys from HELLCAT at Rs. 588. Style ID: 18039516,"HELLCAT Boys Navy Blue Shorts,  HELLCAT, Shorts, Bottomwear, Apparel, Apparel for Boys, Buy HELLCAT Boys Navy Blue Shorts Online in India, Buy Shorts at best price"
trousers/ad--av/ad--av-men-coffee-brown-classic-easy-wash-trousers/18458728/buy,"['clothing', 'men-clothing', 'trousers', 'ad-and-av-trousers']","OSWAL NETWORK PRIVATE LIMITED C/O MANISH KUMAR SANKHLA, 50, DWARIK COLONY,BHILWARA, Bhilwara, Rajasthan, India, 311001Jaipur , Rajasthan - 311001",Buy AD & AV Men Coffee Brown Classic Easy Wash Trousers - Trousers for Men from AD & AV at Rs. 689. Style ID: 18458728,"AD & AV Men Coffee Brown Classic Easy Wash Trousers,  AD & AV, Trousers, Bottomwear, Apparel, Apparel for Men, Buy AD & AV Men Coffee Brown Classic Easy Wash Trousers Online in India, Buy Trousers at best price"
flats/mast--harbour/mast--harbour-women-purple-woven-design-ballerinas-with-bows/16612554/buy,"['footwear', 'women-footwear', 'flats', 'mast-and-harbour-flats']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Women Purple Woven Design Ballerinas With Bows - Flats for Women from Mast & Harbour at Rs. 899. Style ID: 16612554,"Mast & Harbour Women Purple Woven Design Ballerinas With Bows,  Mast & Harbour, Flats, Shoes, Footwear, Footwear for Women, Buy Mast & Harbour Women Purple Woven Design Ballerinas With Bows Online in India, Buy Flats at best price"
caps/dressberry/dressberry-women-black--grey-self-design-beanie/12424124/buy,"['accessories', 'women-accessories', 'caps', 'dressberry-caps']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy DressBerry Women Black & Grey Self Design Beanie - Caps for Women from DressBerry at Rs. 279. Style ID: 12424124,"DressBerry Women Black & Grey Self Design Beanie,  DressBerry, Caps, Headwear, Accessories, Accessories for Women, Buy DressBerry Women Black & Grey Self Design Beanie Online in India, Buy Caps at best price"
jeggings/clora-creation/clora-creation-women-blue-regular-fit-solid-jeggings/17725152/buy,"['clothing', 'women-clothing', 'jeggings', 'clora-creation-jeggings']","C-170, BasementDayanand Colony, Lajpat Nagar - 4Delhi , Delhi - 110024",Buy Clora Creation Women Blue Regular Fit Solid Jeggings - Jeggings for Women from Clora Creation at Rs. 1139. Style ID: 17725152,"Clora Creation Women Blue Regular Fit Solid Jeggings,  Clora Creation, Jeggings, Bottomwear, Apparel, Apparel for Women, Buy Clora Creation Women Blue Regular Fit Solid Jeggings Online in India, Buy Jeggings at best price"
flip-flops/pampy-angel/pampy-angel-men-orange--navy-blue-striped-thong-flip-flops/14960336/buy,"['footwear', 'men-footwear', 'flip-flops', 'pampy-angel-flip-flops']","A-18, 71/7, RAMA ROAD INDUSTRIAL AREA, NAJAFGARH ROAD DELHI, West Delhi, Delhi, 110015A-18, 71/7, RAMA ROAD INDUSTRIAL AREA, NAJAFGARH ROAD DELHI, West Delhi, Delhi, 110015Delhi , Delhi - 110015",Buy Pampy Angel Men Orange & Navy Blue Striped Thong Flip Flops - Flip Flops for Men from Pampy Angel at Rs. 351. Style ID: 14960336,"Pampy Angel Men Orange & Navy Blue Striped Thong Flip Flops,  Pampy Angel, Flip Flops, Flip Flops, Footwear, Footwear for Men, Buy Pampy Angel Men Orange & Navy Blue Striped Thong Flip Flops Online in India, Buy Flip Flops at best price"
sports-shoes/id/id-men-blue-running-non-marking-shoes/15752078/buy,"['footwear', 'men-footwear', 'sports-shoes', 'id-sports-shoes']","C-33 Sector 58Noida , Uttar Pradesh - 201301",Buy ID Men Blue Running Non Marking Shoes - Sports Shoes for Men from ID at Rs. 994. Style ID: 15752078,"ID Men Blue Running Non Marking Shoes,  ID, Sports Shoes, Shoes, Footwear, Footwear for Men, Buy ID Men Blue Running Non Marking Shoes Online in India, Buy Sports Shoes at best price"
shirts/richlook/richlook-men-pink-formal-shirt/18431462/buy,"['clothing', 'men-clothing', 'shirts', 'richlook-shirts']","PLOT NO 414, PHASE 3UDYOG VIHARGurugram , Haryana - 122016",Buy Richlook Men Pink Formal Shirt - Shirts for Men from Richlook at Rs. 1049. Style ID: 18431462,"Richlook Men Pink Formal Shirt,  Richlook, Shirts, Topwear, Apparel, Apparel for Men, Buy Richlook Men Pink Formal Shirt Online in India, Buy Shirts at best price"
tops/zink-z/zink-z-grey-crop-pure-cotton-top/18168494/buy,"['clothing', 'women-clothing', 'tops', 'zink-z-tops']","148, 149, 150 Arupota VillagePragati Maidan PSKolkata , West bengal - 700105",Buy Zink Z Grey Crop Pure Cotton Top - Tops for Women from Zink Z at Rs. 719. Style ID: 18168494,"Zink Z Grey Crop Pure Cotton Top,  Zink Z, Tops, Topwear, Apparel, Apparel for Women, Buy Zink Z Grey Crop Pure Cotton Top Online in India, Buy Tops at best price"
tshirts/moda-rapido/moda-rapido-men-white-typography-printed-pure-cotton-t-shirt/17927766/buy,"['clothing', 'men-clothing', 'tshirts', 'moda-rapido-tshirts']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy Moda Rapido Men White Typography Printed Pure Cotton T Shirt - Tshirts for Men from Moda Rapido at Rs. 431. Style ID: 17927766,"Moda Rapido Men White Typography Printed Pure Cotton T Shirt,  Moda Rapido, Tshirts, Topwear, Apparel, Apparel for Men, Buy Moda Rapido Men White Typography Printed Pure Cotton T Shirt Online in India, Buy Tshirts at best price"
