prod_link,tags,seller_address,meta_description,meta_keyword
flats/xe-looks/xe-looks-women-white-textured-ballerinas-with-bows-flats/18638848/buy,"['footwear', 'women-footwear', 'flats', 'xe-looks-flats']","32, East Park Area, B-15, Park View PlazaKarol BaghDelhi , DELHI - 110005",Buy XE LOOKS Women White Textured Ballerinas With Bows Flats - Flats for Women from XE LOOKS at Rs. 533. Style ID: 18638848,"XE LOOKS Women White Textured Ballerinas With Bows Flats,  XE LOOKS, Flats, Shoes, Footwear, Footwear for Women, Buy XE LOOKS Women White Textured Ballerinas With Bows Flats Online in India, Buy Flats at best price"
tops/bostreet/bostreet-black-striped-shirt-style-top/18244024/buy,"['clothing', 'women-clothing', 'tops', 'bostreet-tops']","HOUSE NO 356, BUILDING F-4, GALA 5/A,HOUSE NO 356, BUILDING F-4, GALA 5/A,Bhiwandi , Maharashtra - 421302",Buy BoStreet Black Striped Shirt Style Top - Tops for Women from BoStreet at Rs. 1553. Style ID: 18244024,"BoStreet Black Striped Shirt Style Top,  BoStreet, Tops, Topwear, Apparel, Apparel for Women, Buy BoStreet Black Striped Shirt Style Top Online in India, Buy Tops at best price"
jewellery-set/justpeachy/justpeachy-women-oxidised-gold-plated--green-kundan-studded-jewellery-set/14140262/buy,"['accessories', 'women-accessories', 'jewellery-set', 'justpeachy-jewellery-set']","Ph3-65-1002Emaar Palm Hills, Gurgaon Sec-77Gurugram , Haryana - 122004",Buy Justpeachy Women Oxidised Gold Plated & Green Kundan Studded Jewellery Set - Jewellery Set for Women from Justpeachy at Rs. 4999. Style ID: 14140262,"Justpeachy Women Oxidised Gold Plated & Green Kundan Studded Jewellery Set,  Justpeachy, Jewellery Set, Jewellery, Accessories, Accessories for Women, Buy Justpeachy Women Oxidised Gold Plated & Green Kundan Studded Jewellery Set Online in India, Buy Jewellery Set at best price"
handbags/allen-solly/allen-solly-pink-solid-sling-bag/17630498/buy,"['accessories', 'women-accessories', 'handbags', 'allen-solly-handbags']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy Allen Solly Pink Solid Sling Bag - Handbags for Women from Allen Solly at Rs. 1724. Style ID: 17630498,"Allen Solly Pink Solid Sling Bag,  Allen Solly, Handbags, Bags, Accessories, Accessories for Women, Buy Allen Solly Pink Solid Sling Bag Online in India, Buy Handbags at best price"
handbags/caprese/caprese-brown-solid-sling-bag/11511856/buy,"['accessories', 'women-accessories', 'handbags', 'caprese-handbags']",,Buy Caprese Brown Solid Sling Bag - Handbags for Women from Caprese at Rs. 2399. Style ID: 11511856,"Caprese Brown Solid Sling Bag,  Caprese, Handbags, Bags, Accessories, Accessories for Women, Buy Caprese Brown Solid Sling Bag Online in India, Buy Handbags at best price"
shorts/blackberrys/blackberrys-men-grey-melange-regular-shorts/17364832/buy,"['clothing', 'men-clothing', 'shorts', 'blackberrys-shorts']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy Blackberrys Men Grey Melange Regular Shorts - Shorts for Men from Blackberrys at Rs. 897. Style ID: 17364832,"Blackberrys Men Grey Melange Regular Shorts,  Blackberrys, Shorts, Bottomwear, Apparel, Apparel for Men, Buy Blackberrys Men Grey Melange Regular Shorts Online in India, Buy Shorts at best price"
track-pants/madame/madame-women-mustard-solid-cotton-joggers/18162024/buy,"['clothing', 'women-clothing', 'track-pants', 'madame-track-pants']","JAIN AMAR CLOTHING PVT LTD, JAIN COMPLEX,NOORWALALudhiana , Punjab - 141007",Buy Madame Women Mustard Solid Cotton Joggers - Track Pants for Women from Madame at Rs. 1039. Style ID: 18162024,"Madame Women Mustard Solid Cotton Joggers,  Madame, Track Pants, Bottomwear, Apparel, Apparel for Women, Buy Madame Women Mustard Solid Cotton Joggers Online in India, Buy Track Pants at best price"
dresses/mish/mish-women-white--black-polka-dots-printed-boat-neck-asymmetric-hem-fit-and-flare-dress-/13634030/buy,"['clothing', 'women-clothing', 'dresses', 'mish-dresses']","1103 Radha Raman Chs 150 Feet Road Bhayander Thane Mumbai Mumbai Maharashtra 401101Mumbai , Maharashtra - 401101",Buy MISH Women White & Black Polka Dots Printed Boat Neck Asymmetric Hem Fit And Flare Dress - Dresses for Women from MISH at Rs. 1349. Style ID: 13634030,"MISH Women White & Black Polka Dots Printed Boat Neck Asymmetric Hem Fit And Flare Dress,  MISH, Dresses, Dress, Apparel, Apparel for Women, Buy MISH Women White & Black Polka Dots Printed Boat Neck Asymmetric Hem Fit And Flare Dress Online in India, Buy Dresses at best price"
kurtas/juniper/juniper-women-turquoise-blue-printed-kurta/17501486/buy,"['clothing', 'women-clothing', 'kurtas', 'juniper-kurtas']","G-93 EPIP RIICO INDUSTRIAL AREASITAPURAJaipur , Rajasthan - 302022",Buy Juniper Women Turquoise Blue Printed Kurta - Kurtas for Women from Juniper at Rs. 1439. Style ID: 17501486,"Juniper Women Turquoise Blue Printed Kurta,  Juniper, Kurtas, Topwear, Apparel, Apparel for Women, Buy Juniper Women Turquoise Blue Printed Kurta Online in India, Buy Kurtas at best price"
formal-shoes/egle/egle-men-black-leather-basketweave-textured-semiformal-penny-loafers/11323090/buy,"['footwear', 'men-footwear', 'formal-shoes', 'egle-formal-shoes']","Plot No. 140,First Floor,Pace City-Iudyog vihar-6Gurugram , HARYANA - 122001",Buy Egle Men Black Leather Basketweave Textured Semiformal Penny Loafers - Formal Shoes for Men from Egle at Rs. 2995. Style ID: 11323090,"Egle Men Black Leather Basketweave Textured Semiformal Penny Loafers,  Egle, Formal Shoes, Shoes, Footwear, Footwear for Men, Buy Egle Men Black Leather Basketweave Textured Semiformal Penny Loafers Online in India, Buy Formal Shoes at best price"
