prod_link,tags,seller_address,meta_description,meta_keyword
tshirts/urbanic/urbanic-women-yellow-printed-extended-sleeves-t-shirt/18531502/buy,"['clothing', 'women-clothing', 'tshirts', 'urbanic-tshirts']","90-B, 91SPRINGBOARD, Delhi - Jaipur Expy, Sector 18Gurgaon, HaryanaGurugram , HARYANA - 122008",Buy URBANIC Women Yellow Printed Extended Sleeves T Shirt - Tshirts for Women from URBANIC at Rs. 590. Style ID: 18531502,"URBANIC Women Yellow Printed Extended Sleeves T Shirt,  URBANIC, Tshirts, Topwear, Apparel, Apparel for Women, Buy URBANIC Women Yellow Printed Extended Sleeves T Shirt Online in India, Buy Tshirts at best price"
kurta-sets/ahika/ahika-women-pink-ethnic-motifs-printed-layered-kurta-with-palazzos/15357206/buy,"['clothing', 'women-clothing', 'kurta-sets', 'ahika-kurta-sets']","PLot No.841/1 , Road No.8G.I.D.C SachinSurat , GUJARAT - 394230",Buy AHIKA Women Pink Ethnic Motifs Printed Layered Kurta With Palazzos - Kurta Sets for Women from AHIKA at Rs. 799. Style ID: 15357206,"AHIKA Women Pink Ethnic Motifs Printed Layered Kurta With Palazzos,  AHIKA, Kurta Sets, Apparel Set, Apparel, Apparel for Women, Buy AHIKA Women Pink Ethnic Motifs Printed Layered Kurta With Palazzos Online in India, Buy Kurta Sets at best price"
sports-shoes/shoexpress/shoexpress-women-blue-running-non-marking-shoes/16410314/buy,"['footwear', 'women-footwear', 'sports-shoes', 'shoexpress-sports-shoes']","KHASRA NO 15/13/1/1/1, 18/2, 19/2, 22,23/1, 17/2/3/1, VILLAGE GADOLI KHURD, SECTOR 37AGurugram , Haryana - 122001",Buy Shoexpress Women Blue Running Non Marking Shoes - Sports Shoes for Women from Shoexpress at Rs. 2049. Style ID: 16410314,"Shoexpress Women Blue Running Non Marking Shoes,  Shoexpress, Sports Shoes, Shoes, Footwear, Footwear for Women, Buy Shoexpress Women Blue Running Non Marking Shoes Online in India, Buy Sports Shoes at best price"
dresses/hm/hm-women-black-tie-detail-dress/18651922/buy,"['clothing', 'women-clothing', 'dresses', 'h-and-m-dresses']","Prakhhyat Infraprojects PVT. LTD., BUILDING 6, K-Square Logistics Park C/O LF LogisticsNear Padgha Toll Naka on MUMBAI-NASIKThane , Maharashtra - 421101",Buy H&M Women Black Tie Detail Dress - Dresses for Women from H&M at Rs. 2299. Style ID: 18651922,"H&M Women Black Tie Detail Dress,  H&M, Dresses, Dress, Apparel, Apparel for Women, Buy H&M Women Black Tie Detail Dress Online in India, Buy Dresses at best price"
trunk/roadster/roadster-men-pack-of-3-trunks-rdst-trn4-3pp-dm-new15/14393680/buy,"['clothing', 'men-clothing', 'trunk', 'roadster-trunk']","406, B2 and C, 4th Floor,Centrum Plaza, Golf Course Road, Sector - 53,Gurugram , Haryana - 122102",Buy Roadster Men Pack Of 3 Trunks RDST TRN4 3PP DM New15 - Trunk for Men from Roadster at Rs. 699. Style ID: 14393680,"Roadster Men Pack Of 3 Trunks RDST TRN4 3PP DM New15,  Roadster, Trunk, Innerwear, Apparel, Apparel for Men, Buy Roadster Men Pack Of 3 Trunks RDST TRN4 3PP DM New15 Online in India, Buy Trunk at best price"
co-ords/woowzerz/woowzerz-women-black-crop-top--palazzos-set-/17986154/buy,"['clothing', 'women-clothing', 'co-ords', 'woowzerz-co-ords']","B-85, 2nd Floor, Wazirpur Industrial Are, DelhiDelhi , Delhi - 110052",Buy WoowZerZ Women Black Crop Top & Palazzos Set - Co Ords for Women from WoowZerz at Rs. 1122. Style ID: 17986154,"WoowZerZ Women Black Crop Top & Palazzos Set,  WoowZerz, Co Ords, Apparel Set, Apparel, Apparel for Women, Buy WoowZerZ Women Black Crop Top & Palazzos Set Online in India, Buy Co Ords at best price"
track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-women-jet-black-bio-wash-typography-pure-cotton-joggers/15307994/buy,"['clothing', 'women-clothing', 'track-pants', 'hrx-by-hrithik-roshan-track-pants']","11th Floor, Flat No. 1106, 1107, 26, Kailash, Kasturba Gandhi Marg, New Delhi, New Delhi, Delhi, 110001Delhi , Delhi - 110001",Buy HRX By Hrithik Roshan Lifestyle Women Jet Black Bio Wash Typography Pure Cotton Joggers - Track Pants for Women from HRX By Hrithik Roshan at Rs. 899. Style ID: 15307994,"HRX By Hrithik Roshan Lifestyle Women Jet Black Bio Wash Typography Pure Cotton Joggers,  HRX By Hrithik Roshan, Track Pants, Bottomwear, Apparel, Apparel for Women, Buy HRX By Hrithik Roshan Lifestyle Women Jet Black Bio Wash Typography Pure Cotton Joggers Online in India, Buy Track Pants at best price"
jeans/urbanic/urbanic-women-blue-cotton-straight-fit-mildly-distressed-patchwork-cropped-jeans/15633022/buy,"['clothing', 'women-clothing', 'jeans', 'urbanic-jeans']","90-B, 91SPRINGBOARD, Delhi - Jaipur Expy, Sector 18Gurgaon, HaryanaGurugram , HARYANA - 122008",Buy URBANIC Women Blue Cotton Straight Fit Mildly Distressed Patchwork Cropped Jeans - Jeans for Women from URBANIC at Rs. 1567. Style ID: 15633022,"URBANIC Women Blue Cotton Straight Fit Mildly Distressed Patchwork Cropped Jeans,  URBANIC, Jeans, Bottomwear, Apparel, Apparel for Women, Buy URBANIC Women Blue Cotton Straight Fit Mildly Distressed Patchwork Cropped Jeans Online in India, Buy Jeans at best price"
casual-shoes/bata/bata-women-navy-blue-slip-on-sneakers/12454310/buy,"['footwear', 'women-footwear', 'casual-shoes', 'bata-casual-shoes']","BATA INDIA LTDGurugram , Haryana - 122504",Buy Bata Women Navy Blue Slip On Sneakers - Casual Shoes for Women from Bata at Rs. 629. Style ID: 12454310,"Bata Women Navy Blue Slip On Sneakers, Bata, Casual Shoes, Shoes, Footwear, Footwear for Women, Buy Bata Women Navy Blue Slip On Sneakers Online in India, Buy Casual Shoes at best price"
heels/pelle-albero/pelle-albero-green-striped-comfort-mules/18285112/buy,"['footwear', 'women-footwear', 'heels', 'pelle-albero-heels']","E-361, MAIN VIKAS MARGNIRMAN VIHARDelhi , Delhi - 110092",Buy Pelle Albero Green Striped Comfort Mules - Heels for Women from Pelle Albero at Rs. 1899. Style ID: 18285112,"Pelle Albero Green Striped Comfort Mules,  Pelle Albero, Heels, Shoes, Footwear, Footwear for Women, Buy Pelle Albero Green Striped Comfort Mules Online in India, Buy Heels at best price"
