prod_link,tags,seller_address,meta_description,meta_keyword
trousers/greenfibre/greenfibre-men-black-trousers/18427390/buy,"['clothing', 'men-clothing', 'trousers', 'greenfibre-trousers']","25-28, Pariseema Complex,Nr. Lal Bunglow Cross Road, C.G. RoadAhmedabad , Gujarat - 380006",Buy Greenfibre Men Black Trousers - Trousers for Men from Greenfibre at Rs. 1899. Style ID: 18427390,"Greenfibre Men Black Trousers,  Greenfibre, Trousers, Bottomwear, Apparel, Apparel for Men, Buy Greenfibre Men Black Trousers Online in India, Buy Trousers at best price"
shirts/flying-machine/flying-machine-men-green--navy-blue-regular-fit-checked-casual-shirt/13848582/buy,"['clothing', 'men-clothing', 'shirts', 'flying-machine-shirts']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy Flying Machine Men Green & Navy Blue Regular Fit Checked Casual Shirt - Shirts for Men from Flying Machine at Rs. 1139. Style ID: 13848582,"Flying Machine Men Green & Navy Blue Regular Fit Checked Casual Shirt,  Flying Machine, Shirts, Topwear, Apparel, Apparel for Men, Buy Flying Machine Men Green & Navy Blue Regular Fit Checked Casual Shirt Online in India, Buy Shirts at best price"
shirts/the-indian-garage-co/the-indian-garage-co-men-white--black-slim-fit-checked-casual-shirt/12182246/buy,"['clothing', 'men-clothing', 'shirts', 'the-indian-garage-co-shirts']","2/1,Survey No.4&2,Bomanahalli Industrial Area, ,Begur road,Bengaluru , Karnataka - 560068",Buy The Indian Garage Co Men White & Black Slim Fit Checked Casual Shirt - Shirts for Men from The Indian Garage Co at Rs. 629. Style ID: 12182246,"The Indian Garage Co Men White & Black Slim Fit Checked Casual Shirt,  The Indian Garage Co, Shirts, Topwear, Apparel, Apparel for Men, Buy The Indian Garage Co Men White & Black Slim Fit Checked Casual Shirt Online in India, Buy Shirts at best price"
tops/hm/hm-girls-3-pack-ribbed-strappy-tops/18170640/buy,"['clothing', 'girls-clothing', 'tops', 'h-and-m-tops']","Prakhhyat Infraprojects PVT. LTD., BUILDING 6, K-Square Logistics Park C/O LF LogisticsNear Padgha Toll Naka on MUMBAI-NASIKThane , Maharashtra - 421101",Buy H&M Girls 3 Pack Ribbed Strappy Tops - Tops for Girls from H&M at Rs. 1299. Style ID: 18170640,"H&M Girls 3 Pack Ribbed Strappy Tops,  H&M, Tops, Topwear, Apparel, Apparel for Girls, Buy H&M Girls 3 Pack Ribbed Strappy Tops Online in India, Buy Tops at best price"
tshirts/van-heusen-flex/van-heusen-flex-men-brown-solid-hooded-active-fit-t-shirt/17993730/buy,"['clothing', 'men-clothing', 'tshirts', 'van-heusen-flex-tshirts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy Van Heusen Flex Men Brown Solid Hooded Active Fit T Shirt - Tshirts for Men from Van Heusen Flex at Rs. 1799. Style ID: 17993730,"Van Heusen Flex Men Brown Solid Hooded Active Fit T Shirt,  Van Heusen Flex, Tshirts, Topwear, Apparel, Apparel for Men, Buy Van Heusen Flex Men Brown Solid Hooded Active Fit T Shirt Online in India, Buy Tshirts at best price"
kurtas/w/w-women-beige-floral-embroidered-keyhole-neck-flared-sleeves-thread-work-kurta/18244328/buy,"['clothing', 'women-clothing', 'kurtas', 'w-kurtas']","Cabin No. 6, Property 2, Gujarat Vihar, Vikas Marg, New Delhi, Delhi, 110092Delhi , Delhi - 110092",Buy W Women Beige Floral Embroidered Keyhole Neck Flared Sleeves Thread Work Kurta - Kurtas for Women from W at Rs. 1139. Style ID: 18244328,"W Women Beige Floral Embroidered Keyhole Neck Flared Sleeves Thread Work Kurta,  W, Kurtas, Topwear, Apparel, Apparel for Women, Buy W Women Beige Floral Embroidered Keyhole Neck Flared Sleeves Thread Work Kurta Online in India, Buy Kurtas at best price"
watches/esprit/esprit-women-silver-toned-dial--bracelet-style-straps-analogue-watch-es1l181m0125/16432822/buy,"['accessories', 'women-accessories', 'watches', 'esprit-watches']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy ESPRIT Women Silver Toned Dial & Bracelet Style Straps Analogue Watch ES1L181M0125 - Watches for Women from ESPRIT at Rs. 4200. Style ID: 16432822,"ESPRIT Women Silver Toned Dial & Bracelet Style Straps Analogue Watch ES1L181M0125,  ESPRIT, Watches, Watches, Accessories, Accessories for Women, Buy ESPRIT Women Silver Toned Dial & Bracelet Style Straps Analogue Watch ES1L181M0125 Online in India, Buy Watches at best price"
shirts/peter-england/peter-england-men-olive-green-slim-fit-geometric-opaque-printed-pure-cotton-casual-shirt/17521452/buy,"['clothing', 'men-clothing', 'shirts', 'peter-england-shirts']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy Peter England Men Olive Green Slim Fit Geometric Opaque Printed Pure Cotton Casual Shirt - Shirts for Men from Peter England at Rs. 1119. Style ID: 17521452,"Peter England Men Olive Green Slim Fit Geometric Opaque Printed Pure Cotton Casual Shirt,  Peter England, Shirts, Topwear, Apparel, Apparel for Men, Buy Peter England Men Olive Green Slim Fit Geometric Opaque Printed Pure Cotton Casual Shirt Online in India, Buy Shirts at best price"
trousers/us-polo-assn/us-polo-assn-men-navy-blue-solid-regular-trousers/17894716/buy,"['clothing', 'men-clothing', 'trousers', 'u.s.-polo-assn.-trousers']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy U.S. Polo Assn. Men Navy Blue Solid Regular Trousers - Trousers for Men from U.S. Polo Assn. at Rs. 1374. Style ID: 17894716,"U.S. Polo Assn. Men Navy Blue Solid Regular Trousers,  U.S. Polo Assn., Trousers, Bottomwear, Apparel, Apparel for Men, Buy U.S. Polo Assn. Men Navy Blue Solid Regular Trousers Online in India, Buy Trousers at best price"
necklace-and-chains/lilly--sparkle/lilly--sparkle-gold-plated-crescent-moon-pendant-necklace/15466082/buy,"['accessories', 'women-accessories', 'necklace-and-chains', 'lilly-and-sparkle-necklace-and-chains']","38, Vaibhav Industrial Estate, Panjab wadi,L.T. Road, Chembur38, Mumbai , Maharashtra - 400071",Buy Lilly & Sparkle Gold Plated Crescent Moon Pendant Necklace - Necklace And Chains for Women from Lilly & Sparkle at Rs. 256. Style ID: 15466082,"Lilly & Sparkle Gold Plated Crescent Moon Pendant Necklace,  Lilly & Sparkle, Necklace And Chains, Jewellery, Accessories, Accessories for Women, Buy Lilly & Sparkle Gold Plated Crescent Moon Pendant Necklace Online in India, Buy Necklace And Chains at best price"
