prod_link,tags,seller_address,meta_description,meta_keyword
kurtas/varanga/varanga-women-purple--white-ethnic-motifs-printed-kurta/18136040/buy,"['clothing', 'women-clothing', 'kurtas', 'varanga-kurtas']","SHOP NO 7036, ASHIRWAD TEXTILE MARKETKADODARA ROAD, MAGOB, Surat, Gujarat, 394327Surat , Gujarat - 394327",Buy Varanga Women Purple & White Ethnic Motifs Printed Kurta - Kurtas for Women from Varanga at Rs. 791. Style ID: 18136040,"Varanga Women Purple & White Ethnic Motifs Printed Kurta,  Varanga, Kurtas, Topwear, Apparel, Apparel for Women, Buy Varanga Women Purple & White Ethnic Motifs Printed Kurta Online in India, Buy Kurtas at best price"
jeans/herenow/herenow-men-blue-slim-fit-light-fade-stretchable-jeans/15324864/buy,"['clothing', 'men-clothing', 'jeans', 'here-and-now-jeans']","11th Floor, Flat No. 1106, 1107, 26, Kailash, Kasturba Gandhi Marg, New Delhi, New Delhi, Delhi, 110001Delhi , Delhi - 110001",Buy HERE&NOW Men Blue Slim Fit Light Fade Stretchable Jeans - Jeans for Men from HERE&NOW at Rs. 734. Style ID: 15324864,"HERE&NOW Men Blue Slim Fit Light Fade Stretchable Jeans,  HERE&NOW, Jeans, Bottomwear, Apparel, Apparel for Men, Buy HERE&NOW Men Blue Slim Fit Light Fade Stretchable Jeans Online in India, Buy Jeans at best price"
bedsheets/labham/labham-white--red-220-tc-king-bedsheet-with-2-pillow-covers/18203022/buy,"['home-furnishing', 'unisex-home-furnishing', 'bedsheets', 'labham-bedsheets']","89/90, RJD TEXTILE PARK, ICHHAPORE,ADAJAN-HAZIRA ROADSurat , GUJARAT - 394510",Buy LABHAM White & Red 220 TC King Bedsheet With 2 Pillow Covers - Bedsheets for Unisex from LABHAM at Rs. 1595. Style ID: 18203022,"LABHAM White & Red 220 TC King Bedsheet With 2 Pillow Covers,  LABHAM, Bedsheets, Bedding, Home, Home for Unisex, Buy LABHAM White & Red 220 TC King Bedsheet With 2 Pillow Covers Online in India, Buy Bedsheets at best price"
boxers/damensch/damensch-men-yellow-printed-pure-cotton-boxer-shorts/18187324/buy,"['clothing', 'men-clothing', 'boxers', 'damensch-boxers']","Third Floor, Municipal No.612/1, PID No.68-229-612/1, Attic Space- Lotus, 80 Feet Road, 4th Block, Koramangala, Bengaluru Urban, Karnataka, 560034Bengaluru , Karnataka - 560034",Buy DAMENSCH Men Yellow Printed Pure Cotton Boxer Shorts - Boxers for Men from DAMENSCH at Rs. 588. Style ID: 18187324,"DAMENSCH Men Yellow Printed Pure Cotton Boxer Shorts,  DAMENSCH, Boxers, Innerwear, Apparel, Apparel for Men, Buy DAMENSCH Men Yellow Printed Pure Cotton Boxer Shorts Online in India, Buy Boxers at best price"
handbags/caprese/caprese-gold-toned-solid-structured-shoulder-bag/18234040/buy,"['accessories', 'women-accessories', 'handbags', 'caprese-handbags']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy Caprese Gold Toned Solid Structured Shoulder Bag - Handbags for Women from Caprese at Rs. 3599. Style ID: 18234040,"Caprese Gold Toned Solid Structured Shoulder Bag,  Caprese, Handbags, Bags, Accessories, Accessories for Women, Buy Caprese Gold Toned Solid Structured Shoulder Bag Online in India, Buy Handbags at best price"
socks/adidas/adidas-men-pack-of-3-assorted-above-ankle-length-socks/15679250/buy,"['accessories', 'men-accessories', 'socks', 'adidas-socks']","No.7, Ashwathnarayana Road, 1st Main, Road,Bengaluru , Karnataka - 560064",Buy ADIDAS Men Pack Of 3 Assorted Above Ankle Length Socks - Socks for Men from ADIDAS at Rs. 474. Style ID: 15679250,"ADIDAS Men Pack Of 3 Assorted Above Ankle Length Socks,  ADIDAS, Socks, Socks, Accessories, Accessories for Men, Buy ADIDAS Men Pack Of 3 Assorted Above Ankle Length Socks Online in India, Buy Socks at best price"
showpieces/exim-decor/exim-decor-red-and-white-wooden-sailing-ship-with-rails-/17822952/buy,"['home-furnishing', 'unisex-home-furnishing', 'showpieces', 'exim-decor-showpieces']","N 26, 4th Floor, Sailing Club Road,Batla House, OkhlaDelhi , Delhi - 110025",Buy EXIM DECOR Red And White Wooden Sailing Ship With Rails - Showpieces for Unisex from EXIM DECOR at Rs. 1799. Style ID: 17822952,"EXIM DECOR Red And White Wooden Sailing Ship With Rails,  EXIM DECOR, Showpieces, Home Decor, Home, Home for Unisex, Buy EXIM DECOR Red And White Wooden Sailing Ship With Rails Online in India, Buy Showpieces at best price"
dresses/threeness/threeness-yellow-cotton-puff-sleeves-tropical-midi-dress/17766598/buy,"['clothing', 'women-clothing', 'dresses', 'threeness-dresses']","2/81, 2nd Floor, MHB Colony, Kher Nagar, NR Sai Baba Mandir, Bandra East, MumbaiMumbai , MAHARASHTRA - 400051",Buy Threeness Yellow Cotton Puff Sleeves Tropical Midi Dress - Dresses for Women from Threeness at Rs. 3400. Style ID: 17766598,"Threeness Yellow Cotton Puff Sleeves Tropical Midi Dress,  Threeness, Dresses, Dress, Apparel, Apparel for Women, Buy Threeness Yellow Cotton Puff Sleeves Tropical Midi Dress Online in India, Buy Dresses at best price"
sarees/saree-mall/saree-mall-taupe-striped-leheriya-saree-with-belt/14984842/buy,"['clothing', 'women-clothing', 'sarees', 'saree-mall-sarees']",,Buy Saree Mall Taupe Striped Leheriya Saree With Belt - Sarees for Women from Saree Mall at Rs. 1289. Style ID: 14984842,"Saree Mall Taupe Striped Leheriya Saree With Belt,  Saree Mall, Sarees, Saree, Apparel, Apparel for Women, Buy Saree Mall Taupe Striped Leheriya Saree With Belt Online in India, Buy Sarees at best price"
sarees/havida-sarees/havida-sarees-green-ethnic-motifs-zari-silk-blend-banarasi-saree/17314612/buy,"['clothing', 'women-clothing', 'sarees', 'havida-sarees-sarees']","PL No. 980, GSCB, KANAKPUR, SACHIN, SURATSurat , Gujarat - 394230",Buy Havida Sarees Green Ethnic Motifs Zari Silk Blend Banarasi Saree - Sarees for Women from Havida Sarees at Rs. 1064. Style ID: 17314612,"Havida Sarees Green Ethnic Motifs Zari Silk Blend Banarasi Saree,  Havida Sarees, Sarees, Saree, Apparel, Apparel for Women, Buy Havida Sarees Green Ethnic Motifs Zari Silk Blend Banarasi Saree Online in India, Buy Sarees at best price"
jewellery-set/zaveri-pearls/zaveri-pearls-gold-plated--pink-embellished-jewellery-set/12883358/buy,"['accessories', 'women-accessories', 'jewellery-set', 'zaveri-pearls-jewellery-set']",,Buy Zaveri Pearls Gold Plated & Pink Embellished Jewellery Set - Jewellery Set for Women from Zaveri Pearls at Rs. 561. Style ID: 12883358,"Zaveri Pearls Gold Plated & Pink Embellished Jewellery Set,  Zaveri Pearls, Jewellery Set, Jewellery, Accessories, Accessories for Women, Buy Zaveri Pearls Gold Plated & Pink Embellished Jewellery Set Online in India, Buy Jewellery Set at best price"
bedsheets/spaces/spaces-green--white-floral-144-tc-single-bedsheet-with-1-pillow-covers/18161602/buy,"['home-furnishing', 'unisex-home-furnishing', 'bedsheets', 'spaces-bedsheets']","Village Babra Bakipur, Pataudi Road,Near Adani Logistic Park, ICD PatliGurugram , Haryana - 122503",Buy SPACES Green & White Floral 144 TC Single Bedsheet With 1 Pillow Covers - Bedsheets for Unisex from SPACES at Rs. 999. Style ID: 18161602,"SPACES Green & White Floral 144 TC Single Bedsheet With 1 Pillow Covers,  SPACES, Bedsheets, Bedding, Home, Home for Unisex, Buy SPACES Green & White Floral 144 TC Single Bedsheet With 1 Pillow Covers Online in India, Buy Bedsheets at best price"
kurta-sets/juniper/juniper-black-floral-printed-kurta-with-trousers--dupatta/18156994/buy,"['clothing', 'women-clothing', 'kurta-sets', 'juniper-kurta-sets']","G-93 EPIP RIICO INDUSTRIAL AREASITAPURAJaipur , Rajasthan - 302022",Buy Juniper Black Floral Printed Kurta With Trousers & Dupatta - Kurta Sets for Women from Juniper at Rs. 2654. Style ID: 18156994,"Juniper Black Floral Printed Kurta With Trousers & Dupatta,  Juniper, Kurta Sets, Apparel Set, Apparel, Apparel for Women, Buy Juniper Black Floral Printed Kurta With Trousers & Dupatta Online in India, Buy Kurta Sets at best price"
bedsheets/house-of-pataudi/house-of-pataudi-white-printed-144-tc-160-gsm-cotton-king-rozana-bedsheet--2-pillow-cover/15456594/buy,"['home-furnishing', 'unisex-home-furnishing', 'bedsheets', 'house-of-pataudi-bedsheets']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy House Of Pataudi White Printed 144 TC 160 GSM Cotton King Rozana Bedsheet & 2 Pillow Cover - Bedsheets for Unisex from House Of Pataudi at Rs. 874. Style ID: 15456594,"House Of Pataudi White Printed 144 TC 160 GSM Cotton King Rozana Bedsheet & 2 Pillow Cover,  House Of Pataudi, Bedsheets, Bedding, Home, Home for Unisex, Buy House Of Pataudi White Printed 144 TC 160 GSM Cotton King Rozana Bedsheet & 2 Pillow Cover Online in India, Buy Bedsheets at best price"
socks/ajile-by-pantaloons/ajile-by-pantaloons-men-pack-of-3-black--grey-striped-ankle-length-socks/16911794/buy,"['accessories', 'men-accessories', 'socks', 'ajile-by-pantaloons-socks']","Business Ground Floor,No 65/64, old No 65, 6th Block, Ward No 21, 2nd Main RoadBengaluru (Bangalore) UrbanBengaluru , Karnataka - 560044",Buy Ajile By Pantaloons Men Pack Of 3 Black & Grey Striped Ankle Length Socks - Socks for Men from Ajile By Pantaloons at Rs. 349. Style ID: 16911794,"Ajile By Pantaloons Men Pack Of 3 Black & Grey Striped Ankle Length Socks,  Ajile By Pantaloons, Socks, Socks, Accessories, Accessories for Men, Buy Ajile By Pantaloons Men Pack Of 3 Black & Grey Striped Ankle Length Socks Online in India, Buy Socks at best price"
dresses/sindrellastorie/sindrellastorie-white-floral-crepe-maxi-dress/15855072/buy,"['clothing', 'women-clothing', 'dresses', 'sindrellastorie-dresses']","580Sec 28Faridabad , Haryana - 121008",Buy Sindrellastorie White Floral Crepe Maxi Dress - Dresses for Women from Sindrellastorie at Rs. 1920. Style ID: 15855072,"Sindrellastorie White Floral Crepe Maxi Dress,  Sindrellastorie, Dresses, Dress, Apparel, Apparel for Women, Buy Sindrellastorie White Floral Crepe Maxi Dress Online in India, Buy Dresses at best price"
perfume-and-body-mist/wild-stone/wild-stone-men-pack-of-3-perfume-300-ml/13376688/buy,"['personal-care', 'men-personal-care', 'perfume-and-body-mist', 'wild-stone-perfume-and-body-mist']","C-508 Unitech Business Zone Golf Course road Extn.GurgaonGurugram , Haryana - 122001",Buy Wild Stone Men Pack Of 3 Perfume 300 Ml - Perfume And Body Mist for Men from Wild Stone at Rs. 1168. Style ID: 13376688,"Wild Stone Men Pack Of 3 Perfume 300 Ml,  Wild Stone, Perfume And Body Mist, Fragrance, Personal Care, Personal Care for Men, Buy Wild Stone Men Pack Of 3 Perfume 300 Ml Online in India, Buy Perfume And Body Mist at best price"
handbags/toteteca/toteteca-women-blue-pu-oversized-shopper-tote-bag/15193038/buy,"['accessories', 'women-accessories', 'handbags', 'toteteca-handbags']","15th FLOOR, 155, MITTAL TOWER B- WING, NARIMAN POINT, MUMBAI,Mumbai City, Maharashtra, 400021Mumbai , Maharashtra - 400021",Buy Toteteca Women Blue PU Oversized Shopper Tote Bag - Handbags for Women from Toteteca at Rs. 791. Style ID: 15193038,"Toteteca Women Blue PU Oversized Shopper Tote Bag,  Toteteca, Handbags, Bags, Accessories, Accessories for Women, Buy Toteteca Women Blue PU Oversized Shopper Tote Bag Online in India, Buy Handbags at best price"
shrug/rute/rute-women-plus-size-navy-blue-cotton-solid-longline-open-front-shrug/13655366/buy,"['clothing', 'women-clothing', 'shrug', 'rute-shrug']","Gali No 1, H.No 3, Hari Nagar, Anaj Mandi,Khandsa Road, Gurugram, Gurgaon, HaryanaGurugram , Haryana - 122001",Buy Rute Women Plus Size Navy Blue Cotton Solid Longline Open Front Shrug - Shrug for Women from Rute at Rs. 989. Style ID: 13655366,"Rute Women Plus Size Navy Blue Cotton Solid Longline Open Front Shrug,  Rute, Shrug, Topwear, Apparel, Apparel for Women, Buy Rute Women Plus Size Navy Blue Cotton Solid Longline Open Front Shrug Online in India, Buy Shrug at best price"
