prod_link,tags,seller_address,meta_description,meta_keyword
dresses/fashor/fashor-grey-colourblocked-keyhole-neck-georgette-maxi-dress/18163514/buy,"['clothing', 'women-clothing', 'dresses', 'fashor-dresses']","Door No. 3,13th AvenueChennai , Tamilnadu - 600031",Buy FASHOR Grey & Pink Colourblocked Tie Up Neck Layered Georgette Maxi Dress With Cape & Belt - Dresses for Women from FASHOR at Rs. 3059. Style ID: 18163514,"FASHOR Grey & Pink Colourblocked Tie Up Neck Layered Georgette Maxi Dress With Cape & Belt,  FASHOR, Dresses, Dress, Apparel, Apparel for Women, Buy FASHOR Grey & Pink Colourblocked Tie Up Neck Layered Georgette Maxi Dress With Cape & Belt Online in India, Buy Dresses at best price"
shirts/disrupt/disrupt-men-blue-classic-casual-shirt/18288638/buy,"['clothing', 'men-clothing', 'shirts', 'disrupt-shirts']","B/203, Asmita Orchhid III, Naya Nagar,Mira Road East, Mumbai City, Maharashtra, 401107Mumbai , MAHARASHTRA - 401107",Buy Disrupt Men Blue Classic Casual Shirt - Shirts for Men from Disrupt at Rs. 1439. Style ID: 18288638,"Disrupt Men Blue Classic Casual Shirt,  Disrupt, Shirts, Topwear, Apparel, Apparel for Men, Buy Disrupt Men Blue Classic Casual Shirt Online in India, Buy Shirts at best price"
bra/zivame/zivame-pink-bra-non-padded/18407920/buy,"['clothing', 'women-clothing', 'bra', 'zivame-bra']","MILA STAR RETAIL PRIVATE LIMITED3rd FLOOR, 2726, Sri Lakshminarayana Nivas, 80 Feet Road, Indiranagar, HAL 3rd stage,Bengaluru , Karnataka - 560075",Buy Zivame Pink Bra Non Padded - Bra for Women from Zivame at Rs. 404. Style ID: 18407920,"Zivame Pink Bra Non Padded,  Zivame, Bra, Innerwear, Apparel, Apparel for Women, Buy Zivame Pink Bra Non Padded Online in India, Buy Bra at best price"
bedsheets/spaces/spaces-blue--beige-adonia-ethnic-motifs-144-tc-king-cotton-bedsheet-with-2-pillow-covers/18161646/buy,"['home-furnishing', 'unisex-home-furnishing', 'bedsheets', 'spaces-bedsheets']","Village Babra Bakipur, Pataudi Road,Near Adani Logistic Park, ICD PatliGurugram , Haryana - 122503",Buy SPACES Blue & Beige ADONIA Ethnic Motifs 144 TC King Cotton Bedsheet With 2 Pillow Covers - Bedsheets for Unisex from SPACES at Rs. 2099. Style ID: 18161646,"SPACES Blue & Beige ADONIA Ethnic Motifs 144 TC King Cotton Bedsheet With 2 Pillow Covers,  SPACES, Bedsheets, Bedding, Home, Home for Unisex, Buy SPACES Blue & Beige ADONIA Ethnic Motifs 144 TC King Cotton Bedsheet With 2 Pillow Covers Online in India, Buy Bedsheets at best price"
ring/rubans/rubans-women-gold-plated--white-cz-studded-adjustable-finger-ring/10499110/buy,"['accessories', 'women-accessories', 'ring', 'rubans-ring']",,Buy Rubans Women Gold Plated & White CZ Studded Adjustable Finger Ring - Ring for Women from Rubans at Rs. 455. Style ID: 10499110,"Rubans Women Gold Plated & White CZ Studded Adjustable Finger Ring,  Rubans, Ring, Jewellery, Accessories, Accessories for Women, Buy Rubans Women Gold Plated & White CZ Studded Adjustable Finger Ring Online in India, Buy Ring at best price"
jeans/van-heusen-woman/van-heusen-woman-women-black-skinny-fit-jeans/18157004/buy,"['clothing', 'women-clothing', 'jeans', 'van-heusen-woman-jeans']","Ground Floor, No 65/64, old No 65, 6th Block, Ward No 21, 2ndMain Road,Bengaluru , Karnataka - 560044",Buy Van Heusen Woman Women Black Skinny Fit Pure Cotton Jeans - Jeans for Women from Van Heusen Woman at Rs. 1649. Style ID: 18157004,"Van Heusen Woman Women Black Skinny Fit Pure Cotton Jeans,  Van Heusen Woman, Jeans, Bottomwear, Apparel, Apparel for Women, Buy Van Heusen Woman Women Black Skinny Fit Pure Cotton Jeans Online in India, Buy Jeans at best price"
trousers/the-indian-garage-co/the-indian-garage-co-men-white-applique-denim--joggers/18380986/buy,"['clothing', 'men-clothing', 'trousers', 'the-indian-garage-co-trousers']","2/1,Survey No.4&2,Bomanahalli Industrial Area, ,Begur road,Bengaluru , Karnataka - 560068",Buy The Indian Garage Co Men White Applique Denim  Joggers - Trousers for Men from The Indian Garage Co at Rs. 799. Style ID: 18380986,"The Indian Garage Co Men White Applique Denim  Joggers,  The Indian Garage Co, Trousers, Bottomwear, Apparel, Apparel for Men, Buy The Indian Garage Co Men White Applique Denim  Joggers Online in India, Buy Trousers at best price"
watches/emporio-armani/emporio-armani-women-black-analogue-watch-ar11245/10677068/buy,"['accessories', 'women-accessories', 'watches', 'emporio-armani-watches']","WZ199/2,Second Floor3,Madipur Village,Madipur,DelhiDelhi , Delhi - 110063",Buy Emporio Armani Women Black Analogue Watch AR11245 - Watches for Women from Emporio Armani at Rs. 23996. Style ID: 10677068,"Emporio Armani Women Black Analogue Watch AR11245,  Emporio Armani, Watches, Watches, Accessories, Accessories for Women, Buy Emporio Armani Women Black Analogue Watch AR11245 Online in India, Buy Watches at best price"
tshirts/wrogn/wrogn-men-black--yellow-slim-fit-printed-round-neck-t-shirt/12423242/buy,"['clothing', 'men-clothing', 'tshirts', 'wrogn-tshirts']",,Buy WROGN Men Black & Yellow Slim Fit Printed Round Neck T Shirt - Tshirts for Men from WROGN at Rs. 629. Style ID: 12423242,"WROGN Men Black & Yellow Slim Fit Printed Round Neck T Shirt,  WROGN, Tshirts, Topwear, Apparel, Apparel for Men, Buy WROGN Men Black & Yellow Slim Fit Printed Round Neck T Shirt Online in India, Buy Tshirts at best price"
shirts/united-colors-of-benetton/united-colors-of-benetton-boys-navy-blue-casual-shirt/18360580/buy,"['clothing', 'boys-clothing', 'shirts', 'united-colors-of-benetton-shirts']","Village Babra Bakipur, Pataudi Road,Near Adani Logistic Park, ICD PatliGurugram , Haryana - 122503",Buy United Colors Of Benetton Boys Navy Blue Casual Shirt - Shirts for Boys from United Colors Of Benetton at Rs. 1189. Style ID: 18360580,"United Colors Of Benetton Boys Navy Blue Casual Shirt,  United Colors Of Benetton, Shirts, Topwear, Apparel, Apparel for Boys, Buy United Colors Of Benetton Boys Navy Blue Casual Shirt Online in India, Buy Shirts at best price"
tshirts/bewakoof/bewakoof-men-black--red-batman-t-shirt/18086224/buy,"['clothing', 'men-clothing', 'tshirts', 'bewakoof-tshirts']","Plot: 8, Grd Flr, 1 st Flr, 2 nd Flr, Prithvi Complex, At Village, Kalher, Taluka Bhiwandi, Dist: ThaneThane , Maharashtra - 421302",Buy Bewakoof Men Black & Red Batman T Shirt - Tshirts for Men from Bewakoof at Rs. 464. Style ID: 18086224,"Bewakoof Men Black & Red Batman T Shirt,  Bewakoof, Tshirts, Topwear, Apparel, Apparel for Men, Buy Bewakoof Men Black & Red Batman T Shirt Online in India, Buy Tshirts at best price"
