prod_link,tags,seller_address,meta_description,meta_keyword
kajal-and-eyeliner/c2p-professional-makeup/c2p-professional-makeup-frame-me-metallic-eyeliner---blue-03/18099600/buy,"['personal-care', 'women-personal-care', 'kajal-and-eyeliner', 'c2p-professional-makeup-kajal-and-eyeliner']","GROUND FLOOR, B-46/4,WAZIRPUR INDUSTRIAL AREADelhi , DELHI - 110052",Buy C2P PROFESSIONAL MAKEUP Frame Me Metallic Eyeliner   Blue 03 - Kajal And Eyeliner for Women from C2P PROFESSIONAL MAKEUP at Rs. 296. Style ID: 18099600,"C2P PROFESSIONAL MAKEUP Frame Me Metallic Eyeliner   Blue 03,  C2P PROFESSIONAL MAKEUP, Kajal And Eyeliner, Makeup, Personal Care, Personal Care for Women, Buy C2P PROFESSIONAL MAKEUP Frame Me Metallic Eyeliner   Blue 03 Online in India, Buy Kajal And Eyeliner at best price"
tshirts/mast--harbour/mast--harbour-men-mustard-yellow--navy-blue-striped-pure-cotton-t-shirt/15058710/buy,"['clothing', 'men-clothing', 'tshirts', 'mast-and-harbour-tshirts']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Men Mustard Yellow & Navy Blue Striped Pure Cotton T Shirt - Tshirts for Men from Mast & Harbour at Rs. 399. Style ID: 15058710,"Mast & Harbour Men Mustard Yellow & Navy Blue Striped Pure Cotton T Shirt,  Mast & Harbour, Tshirts, Topwear, Apparel, Apparel for Men, Buy Mast & Harbour Men Mustard Yellow & Navy Blue Striped Pure Cotton T Shirt Online in India, Buy Tshirts at best price"
tshirts/blackberrys/blackberrys-men-grey--black-colourblocked-pure-cotton-slim-fit-t-shirt/17859788/buy,"['clothing', 'men-clothing', 'tshirts', 'blackberrys-tshirts']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy Blackberrys Men Grey & Black Colourblocked Pure Cotton Slim Fit T Shirt - Tshirts for Men from Blackberrys at Rs. 746. Style ID: 17859788,"Blackberrys Men Grey & Black Colourblocked Pure Cotton Slim Fit T Shirt,  Blackberrys, Tshirts, Topwear, Apparel, Apparel for Men, Buy Blackberrys Men Grey & Black Colourblocked Pure Cotton Slim Fit T Shirt Online in India, Buy Tshirts at best price"
sweaters/all-about-you/all-about-you-women-black--teal-green-self-design-pullover/14231230/buy,"['clothing', 'women-clothing', 'sweaters', 'all-about-you-sweaters']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy All About You Women Black & Teal Green Self Design Pullover - Sweaters for Women from All About You at Rs. 989. Style ID: 14231230,"All About You Women Black & Teal Green Self Design Pullover,  All About You, Sweaters, Topwear, Apparel, Apparel for Women, Buy All About You Women Black & Teal Green Self Design Pullover Online in India, Buy Sweaters at best price"
night-suits/yk-disney/yk-disney-girls-white--navy-blue-mickey--friends-minnie-mouse-print-night-suit/10652520/buy,"['clothing', 'girls-clothing', 'night-suits', 'yk-disney-night-suits']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy YK Disney Girls White & Navy Blue Mickey & Friends Minnie Mouse Print Night Suit - Night Suits for Girls from YK Disney at Rs. 406. Style ID: 10652520,"YK Disney Girls White & Navy Blue Mickey & Friends Minnie Mouse Print Night Suit,  YK Disney, Night Suits, Loungewear And Nightwear, Apparel, Apparel for Girls, Buy YK Disney Girls White & Navy Blue Mickey & Friends Minnie Mouse Print Night Suit Online in India, Buy Night Suits at best price"
blazers/peter-england-elite/-peter-england-elite-men-pink-self-design-slim-fit-single-breasted-blazer/18355812/buy,"['clothing', 'men-clothing', 'blazers', 'peter-england-elite-blazers']","Ground Floor, No 65/64, old No 65, 6th Block, Ward No 21, 2ndMain Road,Bengaluru , Karnataka - 560044",Buy Peter England Elite Men Pink Self Design Slim Fit Single Breasted Blazer - Blazers for Men from Peter England Elite at Rs. 4999. Style ID: 18355812,"Peter England Elite Men Pink Self Design Slim Fit Single Breasted Blazer,  Peter England Elite, Blazers, Topwear, Apparel, Apparel for Men, Buy Peter England Elite Men Pink Self Design Slim Fit Single Breasted Blazer Online in India, Buy Blazers at best price"
dresses/harpa/harpa-pink-floral-georgette-maxi-dress/17566798/buy,"['clothing', 'women-clothing', 'dresses', 'harpa-dresses']","45-48, FIRST FLOOR, DSIDC,OKHLA, INDUSTRIAL AREA, PHASE-2Delhi , Delhi - 110020",Buy Harpa Pink Floral Georgette Maxi Dress - Dresses for Women from Harpa at Rs. 1319. Style ID: 17566798,"Harpa Pink Floral Georgette Maxi Dress,  Harpa, Dresses, Dress, Apparel, Apparel for Women, Buy Harpa Pink Floral Georgette Maxi Dress Online in India, Buy Dresses at best price"
tshirts/uth-by-roadster/uth-by-roadster-girls-peach-coloured-solid-cotton-extended-sleeves-t-shirt/15184762/buy,"['clothing', 'girls-clothing', 'tshirts', 'uth-by-roadster-tshirts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy UTH By Roadster Girls Peach Coloured Solid Cotton Extended Sleeves T Shirt - Tshirts for Girls from UTH By Roadster at Rs. 149. Style ID: 15184762,"UTH By Roadster Girls Peach Coloured Solid Cotton Extended Sleeves T Shirt,  UTH By Roadster, Tshirts, Topwear, Apparel, Apparel for Girls, Buy UTH By Roadster Girls Peach Coloured Solid Cotton Extended Sleeves T Shirt Online in India, Buy Tshirts at best price"
tshirts/being-human/being-human-men-blue-graphic-printed-pure-cotton-casual-t-shirt/17127492/buy,"['clothing', 'men-clothing', 'tshirts', 'being-human-tshirts']","WZ199/2,Second Floor3,Madipur Village,Madipur,DelhiDelhi , Delhi - 110063",Buy Being Human Men Blue Graphic Printed Pure Cotton Casual T Shirt - Tshirts for Men from Being Human at Rs. 399. Style ID: 17127492,"Being Human Men Blue Graphic Printed Pure Cotton Casual T Shirt,  Being Human, Tshirts, Topwear, Apparel, Apparel for Men, Buy Being Human Men Blue Graphic Printed Pure Cotton Casual T Shirt Online in India, Buy Tshirts at best price"
shirts/highlander/highlander-men-pink-slim-fit-horizontal-stripes-opaque-striped-casual-shirt/15517916/buy,"['clothing', 'men-clothing', 'shirts', 'highlander-shirts']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy HIGHLANDER Men Pink Slim Fit Horizontal Stripes Opaque Striped Casual Shirt - Shirts for Men from HIGHLANDER at Rs. 506. Style ID: 15517916,"HIGHLANDER Men Pink Slim Fit Horizontal Stripes Opaque Striped Casual Shirt,  HIGHLANDER, Shirts, Topwear, Apparel, Apparel for Men, Buy HIGHLANDER Men Pink Slim Fit Horizontal Stripes Opaque Striped Casual Shirt Online in India, Buy Shirts at best price"
