prod_link,tags,seller_address,meta_description,meta_keyword
flip-flops/duke/duke-men-brown--white-thong-flip-flops/17951714/buy,"['footwear', 'men-footwear', 'flip-flops', 'duke-flip-flops']","shopbox Ecommerce Pvt Ltd c/o MJ Logistics Private Limited,,Seabird Marine services Pvt Ltd Village Babra Bakirpur,Pataudi Road Near Adani Logistic Park, ICD PatliGurugram , Haryana - 122503",Buy Duke Men Brown & White Thong Flip Flops - Flip Flops for Men from Duke at Rs. 466. Style ID: 17951714,"Duke Men Brown & White Thong Flip Flops,  Duke, Flip Flops, Flip Flops, Footwear, Footwear for Men, Buy Duke Men Brown & White Thong Flip Flops Online in India, Buy Flip Flops at best price"
sarees/suta/suta-maroon-embellished-sequinned-pure-cotton-saree/15244018/buy,"['clothing', 'women-clothing', 'sarees', 'suta-sarees']","Ground Floor Om Shivambika CHS Ltd Sunder Nagar Kalina SANTACRUZ EAST, Mumbai , Maharashtra - 400098",Buy Suta Maroon Embellished Sequinned Pure Cotton Saree - Sarees for Women from Suta at Rs. 3070. Style ID: 15244018,"Suta Maroon Embellished Sequinned Pure Cotton Saree,  Suta, Sarees, Saree, Apparel, Apparel for Women, Buy Suta Maroon Embellished Sequinned Pure Cotton Saree Online in India, Buy Sarees at best price"
lehenga-choli/ethnovogue/ethnovogue-mustard-yellow-made-to-measure-lehenga--blouse-with-dupatta/13914620/buy,"['clothing', 'women-clothing', 'lehenga-choli', 'ethnovogue-lehenga-choli']","Plot no.1, Jariwala compound B/H Sumul dairy,Vasta devdi Road, KatargamSurat , Gujarat - 395004",Buy EthnoVogue Mustard Yellow Made To Measure Lehenga & Blouse With Dupatta - Lehenga Choli for Women from EthnoVogue at Rs. 4503. Style ID: 13914620,"EthnoVogue Mustard Yellow Made To Measure Lehenga & Blouse With Dupatta,  EthnoVogue, Lehenga Choli, Topwear, Apparel, Apparel for Women, Buy EthnoVogue Mustard Yellow Made To Measure Lehenga & Blouse With Dupatta Online in India, Buy Lehenga Choli at best price"
earrings/ami/ami-set-of-5-gold-toned--silver-toned-circular-half-hoop-earrings/14731092/buy,"['accessories', 'women-accessories', 'earrings', 'ami-earrings']","12, 1ST FLOOR, ARIHANT BLDG, HARIDAS NAGAR, SHIMPOLI ROADBORIVALI WESTMumbai , Maharashtra - 400092",Buy AMI Set Of 5 Gold Toned & Silver Toned Circular Half Hoop Earrings - Earrings for Women from AMI at Rs. 390. Style ID: 14731092,"AMI Set Of 5 Gold Toned & Silver Toned Circular Half Hoop Earrings,  AMI, Earrings, Jewellery, Accessories, Accessories for Women, Buy AMI Set Of 5 Gold Toned & Silver Toned Circular Half Hoop Earrings Online in India, Buy Earrings at best price"
tunics/myshka/myshka-green--white-printed-tunic/17136960/buy,"['clothing', 'women-clothing', 'tunics', 'myshka-tunics']","PLOT NO. A-5 D, SECTOR-80, PHASE-II, NOIDA, Gautam Buddha Nagar, Uttar Pradesh, 201301 PLOT NO. A-5 D, SECTOR-80, PHASE-II, NOIDA, Gautam Buddha Nagar, Uttar Pradesh, 201301Gautam Buddha Nagar , Uttar Pradesh - 201301",Buy Myshka Green & White Printed Tunic - Tunics for Women from Myshka at Rs. 559. Style ID: 17136960,"Myshka Green & White Printed Tunic,  Myshka, Tunics, Topwear, Apparel, Apparel for Women, Buy Myshka Green & White Printed Tunic Online in India, Buy Tunics at best price"
shampoo-and-conditioner/wow-skin-science/wow-skin-science-green-tea--tea-tree-anti-dandruff-conditioner---100-ml/17021194/buy,"['personal-care', 'unisex-personal-care', 'shampoo-and-conditioner', 'wow-skin-science-shampoo-and-conditioner']","IndiQube Penta New No.51 Old No.14Richmond RoadBengaluruBengaluru , Karnataka - 560025",Buy WOW SKIN SCIENCE Green Tea & Tea Tree Anti Dandruff Conditioner   100 Ml - Shampoo And Conditioner for Unisex from WOW SKIN SCIENCE at Rs. 109. Style ID: 17021194,"WOW SKIN SCIENCE Green Tea & Tea Tree Anti Dandruff Conditioner   100 Ml,  WOW SKIN SCIENCE, Shampoo And Conditioner, Hair, Personal Care, Personal Care for Unisex, Buy WOW SKIN SCIENCE Green Tea & Tea Tree Anti Dandruff Conditioner   100 Ml Online in India, Buy Shampoo And Conditioner at best price"
tshirts/pantaloons-baby/pantaloons-baby-girls-blue--pink-printed-round-neck-t-shirt/14120112/buy,"['clothing', 'girls-clothing', 'tshirts', 'pantaloons-baby-tshirts']","Business Ground Floor,No 65/64, old No 65, 6th Block, Ward No 21, 2nd Main RoadBengaluru (Bangalore) UrbanBengaluru , Karnataka - 560044",Buy Pantaloons Baby Girls Blue & Pink Printed Round Neck T Shirt - Tshirts for Girls from Pantaloons Baby at Rs. 179. Style ID: 14120112,"Pantaloons Baby Girls Blue & Pink Printed Round Neck T Shirt,  Pantaloons Baby, Tshirts, Topwear, Apparel, Apparel for Girls, Buy Pantaloons Baby Girls Blue & Pink Printed Round Neck T Shirt Online in India, Buy Tshirts at best price"
flats/van-heusen-woman/van-heusen-woman-women-yellow-ballerinas-flats/18225794/buy,"['footwear', 'women-footwear', 'flats', 'van-heusen-woman-flats']","Ground Floor, No 65/64, old No 65, 6th Block, Ward No 21, 2ndMain Road,Bengaluru , Karnataka - 560044",Buy Van Heusen Woman Women Yellow Ballerinas Flats - Flats for Women from Van Heusen Woman at Rs. 1104. Style ID: 18225794,"Van Heusen Woman Women Yellow Ballerinas Flats,  Van Heusen Woman, Flats, Shoes, Footwear, Footwear for Women, Buy Van Heusen Woman Women Yellow Ballerinas Flats Online in India, Buy Flats at best price"
shirts/trendyol/trendyol-men-beige-casual-shirt/17816216/buy,"['clothing', 'men-clothing', 'shirts', 'trendyol-shirts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy Trendyol Men Beige Casual Shirt - Shirts for Men from Trendyol at Rs. 1499. Style ID: 17816216,"Trendyol Men Beige Casual Shirt,  Trendyol, Shirts, Topwear, Apparel, Apparel for Men, Buy Trendyol Men Beige Casual Shirt Online in India, Buy Shirts at best price"
kurtas/biba/biba-women-black--pink-ethnic-motifs-printed-front-slit-a-line-kurta/13446596/buy,"['clothing', 'women-clothing', 'kurtas', 'biba-kurtas']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy Biba Women Black & Pink Ethnic Motifs Printed Front Slit A Line Kurta - Kurtas for Women from Biba at Rs. 1819. Style ID: 13446596,"Biba Women Black & Pink Ethnic Motifs Printed Front Slit A Line Kurta,  Biba, Kurtas, Topwear, Apparel, Apparel for Women, Buy Biba Women Black & Pink Ethnic Motifs Printed Front Slit A Line Kurta Online in India, Buy Kurtas at best price"
