prod_link,tags,seller_address,meta_description,meta_keyword
shirts/greenfibre/greenfibre-men-yellow-slim-fit-checked-casual-shirt/18427366/buy,"['clothing', 'men-clothing', 'shirts', 'greenfibre-shirts']","25-28, Pariseema Complex,Nr. Lal Bunglow Cross Road, C.G. RoadAhmedabad , Gujarat - 380006",Buy Greenfibre Men Yellow Slim Fit Checked Casual Shirt - Shirts for Men from Greenfibre at Rs. 1699. Style ID: 18427366,"Greenfibre Men Yellow Slim Fit Checked Casual Shirt,  Greenfibre, Shirts, Topwear, Apparel, Apparel for Men, Buy Greenfibre Men Yellow Slim Fit Checked Casual Shirt Online in India, Buy Shirts at best price"
tshirts/freesoul/freesoul-men-white-printed-cotton-t-shirt/18069688/buy,"['clothing', 'men-clothing', 'tshirts', 'freesoul-tshirts']","21-E1,2ND PHASE, PEENYA INDUSTRIAL AREA,Bengaluru , Karnataka - 560058",Buy FREESOUL Men White Printed Cotton T Shirt - Tshirts for Men from FREESOUL at Rs. 799. Style ID: 18069688,"FREESOUL Men White Printed Cotton T Shirt,  FREESOUL, Tshirts, Topwear, Apparel, Apparel for Men, Buy FREESOUL Men White Printed Cotton T Shirt Online in India, Buy Tshirts at best price"
wallets/da-milano/da-milano-women-blue-textured-leather-two-fold-wallet/18013592/buy,"['accessories', 'women-accessories', 'wallets', 'da-milano-wallets']","85, Kapashera Bijwasan Road, New DelhiNew Delhi , Delhi - 110037",Buy Da Milano Women Blue Textured Leather Two Fold Wallet - Wallets for Women from Da Milano at Rs. 3149. Style ID: 18013592,"Da Milano Women Blue Textured Leather Two Fold Wallet,  Da Milano, Wallets, Wallets, Accessories, Accessories for Women, Buy Da Milano Women Blue Textured Leather Two Fold Wallet Online in India, Buy Wallets at best price"
sarees/mitera/mitera-women-sea-green--white-embroidered-pure-georgette-bandhani-saree/17141476/buy,"['clothing', 'women-clothing', 'sarees', 'mitera-sarees']","7007, Hindustan Textile Centre-2,Dumbhal,Surat , Gujarat - 395010",Buy Mitera Women Sea Green & White Embroidered Pure Georgette Bandhani Saree - Sarees for Women from Mitera at Rs. 1547. Style ID: 17141476,"Mitera Women Sea Green & White Embroidered Pure Georgette Bandhani Saree,  Mitera, Sarees, Saree, Apparel, Apparel for Women, Buy Mitera Women Sea Green & White Embroidered Pure Georgette Bandhani Saree Online in India, Buy Sarees at best price"
kurtas/indo-era/indo-era-men-lavender-geometric-printed-kurta/17502668/buy,"['clothing', 'men-clothing', 'kurtas', 'indo-era-kurtas']","4TH FLOOR, Block No B-4021/4022/4023/4026/4038/4039/4040ASHIRWAD TEXTILE MARKET, OPP. LANDMARK TEXTILE MARKET, MAGOB,Surat , Gujarat - 395010",Buy Indo Era Men Lavender Geometric Printed Kurta - Kurtas for Men from Indo Era at Rs. 1429. Style ID: 17502668,"Indo Era Men Lavender Geometric Printed Kurta,  Indo Era, Kurtas, Topwear, Apparel, Apparel for Men, Buy Indo Era Men Lavender Geometric Printed Kurta Online in India, Buy Kurtas at best price"
accessory-gift-set/wildhorn/wildhorn-men-accessory-gift-set/1410357/buy,"['accessories', 'men-accessories', 'accessory-gift-set', 'wildhorn-accessory-gift-set']","61B/ H G.J KHAN ROADNEAR ALAM TANNERYKolkata , West bengal - 700039",Buy WildHorn Men Accessory Gift Set - Accessory Gift Set for Men from WildHorn at Rs. 999. Style ID: 1410357,"WildHorn Men Accessory Gift Set, WildHorn, Accessory Gift Set, Accessories, Accessories, Accessories for Men, Buy WildHorn Men Accessory Gift Set Online in India, Buy Accessory Gift Set at best price"
thermal-set/kanvin/kanvin-off-white-self-design-thermal-set-new2150ow2180/2223155/buy,"['clothing', 'women-clothing', 'thermal-set', 'kanvin-thermal-set']","197 Industrial Area-ANear Cheema ChowkLudhiana , Punjab - 141003",Buy Kanvin Off White Self Design Thermal Set NEW2150OW2180 - Thermal Set for Women from Kanvin at Rs. 1182. Style ID: 2223155,"Kanvin Off White Self Design Thermal Set NEW2150OW2180,  Kanvin, Thermal Set, Innerwear, Apparel, Apparel for Women, Buy Kanvin Off White Self Design Thermal Set NEW2150OW2180 Online in India, Buy Thermal Set at best price"
tshirts/jack--jones/jack--jones-men-blue-slim-fit-t-shirt/15430520/buy,"['clothing', 'men-clothing', 'tshirts', 'jack-and-jones-tshirts']","Lalit Residency, 4th Floor,, Sahar, Andheri, Maharashtra, India, 400059, Sahar, Andheri, Maharashtra, India, 400059Sahar, AndheriMumbai , Maharashtra - 400059",Buy Jack & Jones Men Blue Slim Fit T Shirt - Tshirts for Men from Jack & Jones at Rs. 584. Style ID: 15430520,"Jack & Jones Men Blue Slim Fit T Shirt,  Jack & Jones, Tshirts, Topwear, Apparel, Apparel for Men, Buy Jack & Jones Men Blue Slim Fit T Shirt Online in India, Buy Tshirts at best price"
sarees/ms-retail/ms-retail-green--white-pure-georgette-block-print-saree/18467984/buy,"['clothing', 'women-clothing', 'sarees', 'ms-retail-sarees']","6 FLOOR, A-3, 6056, OPP A-3 LIFT, SHREE KUBERJI WORLD KADODARA ROAD, SAROLI, SURATSurat , GUJARAT - 395010",Buy MS RETAIL Green & White Pure Georgette Block Print Saree - Sarees for Women from MS RETAIL at Rs. 558. Style ID: 18467984,"MS RETAIL Green & White Pure Georgette Block Print Saree,  MS RETAIL, Sarees, Saree, Apparel, Apparel for Women, Buy MS RETAIL Green & White Pure Georgette Block Print Saree Online in India, Buy Sarees at best price"
jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-navy-colourblocked-rapid-dry-antimicrobial-outdoor-jacket/11953112/buy,"['clothing', 'women-clothing', 'jackets', 'hrx-by-hrithik-roshan-jackets']","11th Floor, Flat No. 1106, 1107, 26, Kailash, Kasturba Gandhi Marg, New Delhi, New Delhi, Delhi, 110001Delhi , Delhi - 110001",Buy HRX By Hrithik Roshan Women Navy Colourblocked Rapid Dry Antimicrobial Outdoor Jacket - Jackets for Women from HRX By Hrithik Roshan at Rs. 1679. Style ID: 11953112,"HRX By Hrithik Roshan Women Navy Colourblocked Rapid Dry Antimicrobial Outdoor Jacket,  HRX By Hrithik Roshan, Jackets, Topwear, Apparel, Apparel for Women, Buy HRX By Hrithik Roshan Women Navy Colourblocked Rapid Dry Antimicrobial Outdoor Jacket Online in India, Buy Jackets at best price"
