prod_link,tags,seller_address,meta_description,meta_keyword
nehru-jackets/deyann/deyann-men-copper-coloured--black-printed-woven-nehru-jacket/11817102/buy,"['clothing', 'men-clothing', 'nehru-jackets', 'deyann-nehru-jackets']",,Buy DEYANN Men Copper Coloured & Black Printed Woven Nehru Jacket - Nehru Jackets for Men from DEYANN at Rs. 1005. Style ID: 11817102,"DEYANN Men Copper Coloured & Black Printed Woven Nehru Jacket,  DEYANN, Nehru Jackets, Topwear, Apparel, Apparel for Men, Buy DEYANN Men Copper Coloured & Black Printed Woven Nehru Jacket Online in India, Buy Nehru Jackets at best price"
earrings/rubans/rubans-silver-plated-oxidised-dome-shaped-jhumkas-earrings/17491062/buy,"['accessories', 'women-accessories', 'earrings', 'rubans-earrings']","Plot No 211, 4th floor,East of NGEF LayoutOuter ring road kasturinagar,Bangalore UrbanBengaluru , Karnataka - 560043",Buy Rubans Silver Plated Oxidised Dome Shaped Jhumkas Earrings - Earrings for Women from Rubans at Rs. 540. Style ID: 17491062,"Rubans Silver Plated Oxidised Dome Shaped Jhumkas Earrings,  Rubans, Earrings, Jewellery, Accessories, Accessories for Women, Buy Rubans Silver Plated Oxidised Dome Shaped Jhumkas Earrings Online in India, Buy Earrings at best price"
kurtas/house-of-pataudi/house-of-pataudi-men-pink-woven-design-kurta/14595620/buy,"['clothing', 'men-clothing', 'kurtas', 'house-of-pataudi-kurtas']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy House Of Pataudi Men Pink Woven Design Kurta - Kurtas for Men from House Of Pataudi at Rs. 769. Style ID: 14595620,"House Of Pataudi Men Pink Woven Design Kurta,  House Of Pataudi, Kurtas, Topwear, Apparel, Apparel for Men, Buy House Of Pataudi Men Pink Woven Design Kurta Online in India, Buy Kurtas at best price"
casual-shoes/zebba/zebba-kids-navy-blue--white-striped-espadrilles/11641306/buy,"['footwear', 'unisex-kids-footwear', 'casual-shoes', 'zebba-casual-shoes']","117 L 31 Naveen Nagar Kakadeo, , Uttar Pradesh, India, 208025Kanpur , Uttar pradesh - 208025",Buy Zebba Kids Navy Blue & White Striped Espadrilles - Casual Shoes for Unisex Kids from Zebba at Rs. 839. Style ID: 11641306,"Zebba Kids Navy Blue & White Striped Espadrilles,  Zebba, Casual Shoes, Shoes, Footwear, Footwear for Unisex Kids, Buy Zebba Kids Navy Blue & White Striped Espadrilles Online in India, Buy Casual Shoes at best price"
night-suits/the-dry-state/the-dry-state-women-black--white-solid-pyjamas-set/14776816/buy,"['clothing', 'women-clothing', 'night-suits', 'the-dry-state-night-suits']","A168/1, FIRST FLOOR, ROAD NUMBER 5, SARDAR INDUSTRIAL ESTATE,AJWA ROAD, VADODARABaroda , Gujarat - 390019",Buy The Dry State Women Black & White Solid Pyjamas Set - Night Suits for Women from The Dry State at Rs. 749. Style ID: 14776816,"The Dry State Women Black & White Solid Pyjamas Set,  The Dry State, Night Suits, Loungewear And Nightwear, Apparel, Apparel for Women, Buy The Dry State Women Black & White Solid Pyjamas Set Online in India, Buy Night Suits at best price"
shirts/spykar/spykar-men-black-printed-casual-shirt/16457258/buy,"['clothing', 'men-clothing', 'shirts', 'spykar-shirts']","19th Floor, F Wing, Lotus Corporate Park, Off Western Express Highway, Goregaon East, Mumbai 400063Mumbai , Maharashtra - 400063",Buy SPYKAR Men Black Printed Casual Shirt - Shirts for Men from SPYKAR at Rs. 1448. Style ID: 16457258,"SPYKAR Men Black Printed Casual Shirt,  SPYKAR, Shirts, Topwear, Apparel, Apparel for Men, Buy SPYKAR Men Black Printed Casual Shirt Online in India, Buy Shirts at best price"
trousers/kook-n-keech/kook-n-keech-men-black-joggers-trousers/16618626/buy,"['clothing', 'men-clothing', 'trousers', 'kook-n-keech-trousers']","WZ199/2,Second Floor3,Madipur Village,Madipur,DelhiDelhi , Delhi - 110063",Buy Kook N Keech Men Black Joggers Trousers - Trousers for Men from Kook N Keech at Rs. 1124. Style ID: 16618626,"Kook N Keech Men Black Joggers Trousers,  Kook N Keech, Trousers, Bottomwear, Apparel, Apparel for Men, Buy Kook N Keech Men Black Joggers Trousers Online in India, Buy Trousers at best price"
dresses/sassafras/sassafras-women-mustard-polka-dotted-tiered-dress/14994822/buy,"['clothing', 'women-clothing', 'dresses', 'sassafras-dresses']","KH No. 37/19, 3rd FloorKapasheraDelhi , Delhi - 110037",Buy SASSAFRAS Women Mustard Polka Dotted Tiered Dress - Dresses for Women from SASSAFRAS at Rs. 734. Style ID: 14994822,"SASSAFRAS Women Mustard Polka Dotted Tiered Dress,  SASSAFRAS, Dresses, Dress, Apparel, Apparel for Women, Buy SASSAFRAS Women Mustard Polka Dotted Tiered Dress Online in India, Buy Dresses at best price"
kurta-sets/bhama-couture/bhama-couture-women-blue--golden-block-print-kurta-with-palazzos/11419250/buy,"['clothing', 'women-clothing', 'kurta-sets', 'bhama-couture-kurta-sets']","PLOT NO-4, SMALL SCALE, CO-OP INDUSTRIAL ESTATE, G.T.KARNAL ROAD, DELHIDelhi , Delhi - 110033",Buy Bhama Couture Women Blue & Golden Block Print Kurta With Palazzos - Kurta Sets for Women from Bhama Couture at Rs. 827. Style ID: 11419250,"Bhama Couture Women Blue & Golden Block Print Kurta With Palazzos,  Bhama Couture, Kurta Sets, Apparel Set, Apparel, Apparel for Women, Buy Bhama Couture Women Blue & Golden Block Print Kurta With Palazzos Online in India, Buy Kurta Sets at best price"
kurtas/saadgi/saadgi-women-blue--white-linen-embroidered-straight-kurta/14159346/buy,"['clothing', 'women-clothing', 'kurtas', 'saadgi-kurtas']","2441, F/F, FAIZ ROAD KAROL BAGH, NAGAR, Central Delhi, Delhi, 110005Delhi , Delhi - 110005",Buy Saadgi Women Blue & White Linen Embroidered Straight Kurta - Kurtas for Women from Saadgi at Rs. 851. Style ID: 14159346,"Saadgi Women Blue & White Linen Embroidered Straight Kurta,  Saadgi, Kurtas, Topwear, Apparel, Apparel for Women, Buy Saadgi Women Blue & White Linen Embroidered Straight Kurta Online in India, Buy Kurtas at best price"
tshirts/roadster/roadster-women-orange--grey-printed-round-neck-pure-cotton-t-shirt-with-contrast-sleeves/11701732/buy,"['clothing', 'women-clothing', 'tshirts', 'roadster-tshirts']",,Buy Roadster Women Orange  Grey Printed Round Neck Pure Cotton T Shirt With Contrast Sleeves - Tshirts for Women from Roadster at Rs. 384. Style ID: 11701732,"Roadster Women Orange  Grey Printed Round Neck Pure Cotton T Shirt With Contrast Sleeves,  Roadster, Tshirts, Topwear, Apparel, Apparel for Women, Buy Roadster Women Orange  Grey Printed Round Neck Pure Cotton T Shirt With Contrast Sleeves Online in India, Buy Tshirts at best price"
jackets/the-indian-garage-co/the-indian-garage-co-men-blue-solid-biker-jacket/16017212/buy,"['clothing', 'men-clothing', 'jackets', 'the-indian-garage-co-jackets']","2/1,Survey No.4&2,Bomanahalli Industrial Area, ,Begur road,Bengaluru , Karnataka - 560068",Buy The Indian Garage Co Men Blue Solid Biker Jacket - Jackets for Men from The Indian Garage Co at Rs. 1503. Style ID: 16017212,"The Indian Garage Co Men Blue Solid Biker Jacket,  The Indian Garage Co, Jackets, Topwear, Apparel, Apparel for Men, Buy The Indian Garage Co Men Blue Solid Biker Jacket Online in India, Buy Jackets at best price"
jackets/locomotive/locomotive-men-black-printed-jacket/10843048/buy,"['clothing', 'men-clothing', 'jackets', 'locomotive-jackets']",,Buy LOCOMOTIVE Men Black Printed Jacket - Jackets for Men from LOCOMOTIVE at Rs. 1599. Style ID: 10843048,"LOCOMOTIVE Men Black Printed Jacket,  LOCOMOTIVE, Jackets, Topwear, Apparel, Apparel for Men, Buy LOCOMOTIVE Men Black Printed Jacket Online in India, Buy Jackets at best price"
shirts/hancock/hancock-men-grey-slim-fit-printed-formal-shirt/15635830/buy,"['clothing', 'men-clothing', 'shirts', 'hancock-shirts']","K-3, Basement, Udyog Nagar, Rohtak Road, Delhi 110041Delhi , Delhi - 110041",Buy Hancock Men Grey Slim Fit Printed Formal Shirt - Shirts for Men from Hancock at Rs. 699. Style ID: 15635830,"Hancock Men Grey Slim Fit Printed Formal Shirt,  Hancock, Shirts, Topwear, Apparel, Apparel for Men, Buy Hancock Men Grey Slim Fit Printed Formal Shirt Online in India, Buy Shirts at best price"
shirts/sojanya/sojanya-men-charcoal-grey-classic-regular-fit-solid-formal-shirt/11397834/buy,"['clothing', 'men-clothing', 'shirts', 'sojanya-shirts']","103 Vaishali (2nd Floor)PitampuraNew Delhi , Delhi - 110034",Buy SOJANYA Men Charcoal Grey Classic Regular Fit Solid Formal Shirt - Shirts for Men from SOJANYA at Rs. 614. Style ID: 11397834,"SOJANYA Men Charcoal Grey Classic Regular Fit Solid Formal Shirt,  SOJANYA, Shirts, Topwear, Apparel, Apparel for Men, Buy SOJANYA Men Charcoal Grey Classic Regular Fit Solid Formal Shirt Online in India, Buy Shirts at best price"
sandals/mactree/mactree-men-brown-pu-shoe-style-sandals/15658112/buy,"['footwear', 'men-footwear', 'sandals', 'mactree-sandals']","21/2A/10 JOHNS MILL NO. 4 , JEONI MANDI NEAR JANNAT HOTELAgra , Uttar Pradesh - 282004",Buy Mactree Men Brown PU Shoe Style Sandals - Sandals for Men from Mactree at Rs. 799. Style ID: 15658112,"Mactree Men Brown PU Shoe Style Sandals,  Mactree, Sandals, Sandal, Footwear, Footwear for Men, Buy Mactree Men Brown PU Shoe Style Sandals Online in India, Buy Sandals at best price"
