prod_link,tags,seller_address,meta_description,meta_keyword
watches/marvel/marvel-unisex-kids-red-spiderman-printed-dial--red-straps-analogue-automatic-watch/17271080/buy,"['accessories', 'unisex-kids-accessories', 'watches', 'marvel-watches']","13/2 mahindara Ray lane, Maruti Bagan, opposite jibreel international schoolKolkata , West Bengal - 700046",Buy Marvel Unisex Kids Red Spiderman Printed Dial & Red Straps Analogue Automatic Watch - Watches for Unisex Kids from Marvel at Rs. 935. Style ID: 17271080,"Marvel Unisex Kids Red Spiderman Printed Dial & Red Straps Analogue Automatic Watch,  Marvel, Watches, Watches, Accessories, Accessories for Unisex Kids, Buy Marvel Unisex Kids Red Spiderman Printed Dial & Red Straps Analogue Automatic Watch Online in India, Buy Watches at best price"
shirts/mast--harbour/mast--harbour-men-maroon--white-slim-fit-printed-casual-shirt/14885486/buy,"['clothing', 'men-clothing', 'shirts', 'mast-and-harbour-shirts']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Men Maroon & White Slim Fit Printed Casual Shirt - Shirts for Men from Mast & Harbour at Rs. 664. Style ID: 14885486,"Mast & Harbour Men Maroon & White Slim Fit Printed Casual Shirt,  Mast & Harbour, Shirts, Topwear, Apparel, Apparel for Men, Buy Mast & Harbour Men Maroon & White Slim Fit Printed Casual Shirt Online in India, Buy Shirts at best price"
earrings/kushals-fashion-jewellery/kushals-fashion-jewellery-red-dome-shaped-jhumkas-earrings/18618448/buy,"['accessories', 'women-accessories', 'earrings', ""kushal's-fashion-jewellery-earrings""]",,Buy Kushal's Fashion Jewellery Red Dome Shaped Jhumkas Earrings - Earrings for Women from Kushal's Fashion Jewellery at Rs. 1350. Style ID: 18618448,"Kushal's Fashion Jewellery Red Dome Shaped Jhumkas Earrings,  Kushal's Fashion Jewellery, Earrings, Jewellery, Accessories, Accessories for Women, Buy Kushal's Fashion Jewellery Red Dome Shaped Jhumkas Earrings Online in India, Buy Earrings at best price"
tshirts/aeropostale/aeropostale-women-yellow-typography-printed-t-shirt/18452578/buy,"['clothing', 'women-clothing', 'tshirts', 'aeropostale-tshirts']","10TH FLOOR, DU PARC TRINITY, NO 17, M.G ROAD, Bengaluru (Bangalore) Rural,Bengaluru , Karnataka - 560001",Buy Aeropostale Women Yellow Typography Printed T Shirt - Tshirts for Women from Aeropostale at Rs. 719. Style ID: 18452578,"Aeropostale Women Yellow Typography Printed T Shirt,  Aeropostale, Tshirts, Topwear, Apparel, Apparel for Women, Buy Aeropostale Women Yellow Typography Printed T Shirt Online in India, Buy Tshirts at best price"
jeans/harvard/harvard-men-blue-tapered-fit-heavy-fade-stretchable-jeans/15045666/buy,"['clothing', 'men-clothing', 'jeans', 'harvard-jeans']","WZ199/2,Second Floor3,Madipur Village,Madipur,DelhiDelhi , Delhi - 110063",Buy Harvard Men Blue Tapered Fit Heavy Fade Stretchable Jeans - Jeans for Men from Harvard at Rs. 899. Style ID: 15045666,"Harvard Men Blue Tapered Fit Heavy Fade Stretchable Jeans,  Harvard, Jeans, Bottomwear, Apparel, Apparel for Men, Buy Harvard Men Blue Tapered Fit Heavy Fade Stretchable Jeans Online in India, Buy Jeans at best price"
shorts/highlander/highlander-men-blue-solid-slim-fit-cotton-linen-chino-shorts/14250166/buy,"['clothing', 'men-clothing', 'shorts', 'highlander-shorts']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy HIGHLANDER Men Blue Solid Slim Fit Cotton Linen Chino Shorts - Shorts for Men from HIGHLANDER at Rs. 503. Style ID: 14250166,"HIGHLANDER Men Blue Solid Slim Fit Cotton Linen Chino Shorts,  HIGHLANDER, Shorts, Bottomwear, Apparel, Apparel for Men, Buy HIGHLANDER Men Blue Solid Slim Fit Cotton Linen Chino Shorts Online in India, Buy Shorts at best price"
kurta-sets/ishin/ishin-women-yellow--red-embroidered-kurta-with-skirt--dupatta/13327350/buy,"['clothing', 'women-clothing', 'kurta-sets', 'ishin-kurta-sets']","2nd Floor, NO. 39, NGEF Lane, Indiranagar First StageBangaloreBengaluru , Karnataka - 560038",Buy Ishin Women Yellow & Red Embroidered Kurta With Skirt & Dupatta - Kurta Sets for Women from Ishin at Rs. 2447. Style ID: 13327350,"Ishin Women Yellow & Red Embroidered Kurta With Skirt & Dupatta,  Ishin, Kurta Sets, Apparel Set, Apparel, Apparel for Women, Buy Ishin Women Yellow & Red Embroidered Kurta With Skirt & Dupatta Online in India, Buy Kurta Sets at best price"
sweatshirts/united-colors-of-benetton/united-colors-of-benetton-men-yellow-half-zipper-solid-sweatshirt/15340960/buy,"['clothing', 'men-clothing', 'sweatshirts', 'united-colors-of-benetton-sweatshirts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy United Colors Of Benetton Men Yellow Half Zipper Solid Sweatshirt - Sweatshirts for Men from United Colors Of Benetton at Rs. 1889. Style ID: 15340960,"United Colors Of Benetton Men Yellow Half Zipper Solid Sweatshirt,  United Colors Of Benetton, Sweatshirts, Topwear, Apparel, Apparel for Men, Buy United Colors Of Benetton Men Yellow Half Zipper Solid Sweatshirt Online in India, Buy Sweatshirts at best price"
dresses/vishudh/vishudh-women-off-white-self-design-maxi-dress/7574029/buy,"['clothing', 'women-clothing', 'dresses', 'vishudh-dresses']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy Vishudh Women Off White Self Design Maxi Dress - Dresses for Women from Vishudh at Rs. 1419. Style ID: 7574029,"Vishudh Women Off White Self Design Maxi Dress,  Vishudh, Dresses, Dress, Apparel, Apparel for Women, Buy Vishudh Women Off White Self Design Maxi Dress Online in India, Buy Dresses at best price"
casual-shoes/kazarmax/kazarmax-women-blue--pink-floral-print-slip-on-sneakers/11709878/buy,"['footwear', 'women-footwear', 'casual-shoes', 'kazarmax-casual-shoes']","Khasra No. 31/9/2, 12/2, Sector-35, Village Begumpur Khatola, Gurgaon, Haryana, 122001Gurugram , Haryana - 122001",Buy KazarMax Women Blue & Pink Floral Print Slip On Sneakers - Casual Shoes for Women from KazarMax at Rs. 999. Style ID: 11709878,"KazarMax Women Blue & Pink Floral Print Slip On Sneakers,  KazarMax, Casual Shoes, Shoes, Footwear, Footwear for Women, Buy KazarMax Women Blue & Pink Floral Print Slip On Sneakers Online in India, Buy Casual Shoes at best price"
