prod_link,tags,seller_address,meta_description,meta_keyword
tshirts/kappa/kappa-men-navy-blue-solid-v-neck-t-shirt/2213392/buy,"['clothing', 'men-clothing', 'tshirts', 'kappa-tshirts']","#41/2,42/2,Oblapura Gram panchyat,Anugondanahalli HobliDevangundi Main RoadHoskote TalukBengaluru , Karnataka - 560067",Buy Kappa Men Navy Blue Solid V Neck T Shirt - Tshirts for Men from Kappa at Rs. 424. Style ID: 2213392,"Kappa Men Navy Blue Solid V Neck T Shirt,  Kappa, Tshirts, Topwear, Apparel, Apparel for Men, Buy Kappa Men Navy Blue Solid V Neck T Shirt Online in India, Buy Tshirts at best price"
trunk/jockey/jockey-men-black-solid-trunks-8009-0105/11425188/buy,"['clothing', 'men-clothing', 'trunk', 'jockey-trunk']",,Buy Jockey Men Black Solid Trunks 8009 0105 - Trunk for Men from Jockey at Rs. 274. Style ID: 11425188,"Jockey Men Black Solid Trunks 8009 0105,  Jockey, Trunk, Innerwear, Apparel, Apparel for Men, Buy Jockey Men Black Solid Trunks 8009 0105 Online in India, Buy Trunk at best price"
tops/tokyo-talkies/tokyo-talkies-black-ruffles-smocked-crop-top/18377274/buy,"['clothing', 'women-clothing', 'tops', 'tokyo-talkies-tops']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy Tokyo Talkies Black Ruffles Smocked Crop Top - Tops for Women from Tokyo Talkies at Rs. 459. Style ID: 18377274,"Tokyo Talkies Black Ruffles Smocked Crop Top,  Tokyo Talkies, Tops, Topwear, Apparel, Apparel for Women, Buy Tokyo Talkies Black Ruffles Smocked Crop Top Online in India, Buy Tops at best price"
casual-shoes/passion-petals/passion-petals-girls-beige--gold-toned-embellished-pu-flat-boots/15997136/buy,"['footwear', 'girls-footwear', 'casual-shoes', 'passion-petals-casual-shoes']","B-1/31 FIRST FLOOR PASCHIM VIHARDelhi , Delhi - 110063",Buy PASSION PETALS Girls Beige & Gold Toned Embellished PU Flat Boots - Casual Shoes for Girls from PASSION PETALS at Rs. 899. Style ID: 15997136,"PASSION PETALS Girls Beige & Gold Toned Embellished PU Flat Boots,  PASSION PETALS, Casual Shoes, Shoes, Footwear, Footwear for Girls, Buy PASSION PETALS Girls Beige & Gold Toned Embellished PU Flat Boots Online in India, Buy Casual Shoes at best price"
kurtas/anouk/anouk-women-green-pathani-kurta/17090724/buy,"['clothing', 'women-clothing', 'kurtas', 'anouk-kurtas']","Cabin No. 6, Property 2, Gujarat Vihar, Vikas Marg, New Delhi, Delhi, 110092Delhi , Delhi - 110092",Buy Anouk Women Green Pathani Kurta - Kurtas for Women from Anouk at Rs. 734. Style ID: 17090724,"Anouk Women Green Pathani Kurta,  Anouk, Kurtas, Topwear, Apparel, Apparel for Women, Buy Anouk Women Green Pathani Kurta Online in India, Buy Kurtas at best price"
kurtas/karigari/karigari-women-red-ethnic-motifs-printed-kurta/17006546/buy,"['clothing', 'women-clothing', 'kurtas', 'karigari-kurtas']","10TH FLOOR, DU PARC TRINITY, NO 17, M.G ROAD, Bengaluru (Bangalore) Rural,Bengaluru , Karnataka - 560001",Buy Karigari Women Red Ethnic Motifs Printed Kurta - Kurtas for Women from Karigari at Rs. 599. Style ID: 17006546,"Karigari Women Red Ethnic Motifs Printed Kurta,  Karigari, Kurtas, Topwear, Apparel, Apparel for Women, Buy Karigari Women Red Ethnic Motifs Printed Kurta Online in India, Buy Kurtas at best price"
casual-shoes/invictus/invictus-men-brown-loafers/16739310/buy,"['footwear', 'men-footwear', 'casual-shoes', 'invictus-casual-shoes']",,Buy INVICTUS Men Brown Loafers - Casual Shoes for Men from INVICTUS at Rs. 3795. Style ID: 16739310,"INVICTUS Men Brown Loafers,  INVICTUS, Casual Shoes, Shoes, Footwear, Footwear for Men, Buy INVICTUS Men Brown Loafers Online in India, Buy Casual Shoes at best price"
wallets/polo-ralph-lauren/polo-ralph-lauren-men-navy-blue-printed-leather-two-fold-wallet/16610746/buy,"['accessories', 'men-accessories', 'wallets', 'polo-ralph-lauren-wallets']",,Buy Polo Ralph Lauren Men Navy Blue Printed Leather Two Fold Wallet - Wallets for Men from Polo Ralph Lauren at Rs. 11000. Style ID: 16610746,"Polo Ralph Lauren Men Navy Blue Printed Leather Two Fold Wallet,  Polo Ralph Lauren, Wallets, Wallets, Accessories, Accessories for Men, Buy Polo Ralph Lauren Men Navy Blue Printed Leather Two Fold Wallet Online in India, Buy Wallets at best price"
perfume-and-body-mist/dolce--gabbana/dolce--gabbana-women-the-one-eau-de-toilette-100-ml/7046669/buy,"['personal-care', 'women-personal-care', 'perfume-and-body-mist', 'dolce-and-gabbana-perfume-and-body-mist']","Gala No.3, Ground Floor,, Building No. A, Kaman Industrial Premises,,Kaman Industrial Complex, Village Poman, Taluka - Vasai,Thane , Maharashtra - 401208",Buy Dolce & Gabbana Women The One Eau De Toilette 100 Ml - Perfume And Body Mist for Women from Dolce & Gabbana at Rs. 5580. Style ID: 7046669,"Dolce & Gabbana Women The One Eau De Toilette 100 Ml, Dolce & Gabbana, Perfume And Body Mist, Fragrance, Personal Care, Personal Care for Women, Buy Dolce & Gabbana Women The One Eau De Toilette 100 Ml Online in India, Buy Perfume And Body Mist at best price"
lehenga-choli/ethnovogue/ethnovogue-pink--green-embellished-made-to-measure-lehenga--blouse-with-dupatta/11263852/buy,"['clothing', 'women-clothing', 'lehenga-choli', 'ethnovogue-lehenga-choli']","Plot no.1, Jariwala compound B/H Sumul dairy,Vasta devdi Road, KatargamSurat , Gujarat - 395004",Buy EthnoVogue Pink & Green Embellished Made To Measure Lehenga & Blouse With Dupatta - Lehenga Choli for Women from EthnoVogue at Rs. 5802. Style ID: 11263852,"EthnoVogue Pink & Green Embellished Made To Measure Lehenga & Blouse With Dupatta,  EthnoVogue, Lehenga Choli, Topwear, Apparel, Apparel for Women, Buy EthnoVogue Pink & Green Embellished Made To Measure Lehenga & Blouse With Dupatta Online in India, Buy Lehenga Choli at best price"
