prod_link,tags,seller_address,meta_description,meta_keyword
dresses/urbanic/urbanic-white--lavender-floral-print-mini-pleated-detail-a-line-dress/15846774/buy,"['clothing', 'women-clothing', 'dresses', 'urbanic-dresses']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy URBANIC White & Lavender Floral Print Mini Pleated Detail A Line Dress - Dresses for Women from URBANIC at Rs. 1098. Style ID: 15846774,"URBANIC White & Lavender Floral Print Mini Pleated Detail A Line Dress,  URBANIC, Dresses, Dress, Apparel, Apparel for Women, Buy URBANIC White & Lavender Floral Print Mini Pleated Detail A Line Dress Online in India, Buy Dresses at best price"
casual-shoes/kook-n-keech/kook-n-keech-women-pink--black-printed-slip-on-sneakers/15648644/buy,"['footwear', 'women-footwear', 'casual-shoes', 'kook-n-keech-casual-shoes']","WZ199/2,Second Floor3,Madipur Village,Madipur,DelhiDelhi , Delhi - 110063",Buy Kook N Keech Women Pink & Black Printed Slip On Sneakers - Casual Shoes for Women from Kook N Keech at Rs. 674. Style ID: 15648644,"Kook N Keech Women Pink & Black Printed Slip On Sneakers,  Kook N Keech, Casual Shoes, Shoes, Footwear, Footwear for Women, Buy Kook N Keech Women Pink & Black Printed Slip On Sneakers Online in India, Buy Casual Shoes at best price"
track-pants/tokyo-talkies/tokyo-talkies-women-green-solid-slim-fit-track-pants/16181552/buy,"['clothing', 'women-clothing', 'track-pants', 'tokyo-talkies-track-pants']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy Tokyo Talkies Women Green Solid Slim Fit Track Pants - Track Pants for Women from Tokyo Talkies at Rs. 517. Style ID: 16181552,"Tokyo Talkies Women Green Solid Slim Fit Track Pants,  Tokyo Talkies, Track Pants, Bottomwear, Apparel, Apparel for Women, Buy Tokyo Talkies Women Green Solid Slim Fit Track Pants Online in India, Buy Track Pants at best price"
tops/inweave/inweave-off-white-floral-printed-top/13718888/buy,"['clothing', 'women-clothing', 'tops', 'inweave-tops']","1001, Tower 14, Orchid PetalsSector 49, Sohna RoadGurugram , Haryana - 122015",Buy InWeave Off White Floral Printed Top - Tops for Women from InWeave at Rs. 696. Style ID: 13718888,"InWeave Off White Floral Printed Top,  InWeave, Tops, Topwear, Apparel, Apparel for Women, Buy InWeave Off White Floral Printed Top Online in India, Buy Tops at best price"
kurtas/anouk/anouk-women-pink--white-pure-cotton-geometric-print-kurta/17276000/buy,"['clothing', 'women-clothing', 'kurtas', 'anouk-kurtas']","A-5/13, HOJIWALA INDUSTRIAL ESTATE, ROAD NO 11, GATE NO  2, SACHIN, VANZ, SURAT, Surat, Gujarat, 394230tPLOT NO 101, OMNIPRESENT LIFESTYLE LLP, ROAD NO 0, NR APPREAL PARK, SACHIN,  SURAT, Surat, Gujarat, 394230Surat , Gujarat - 394230",Buy Anouk Women Pink & White Pure Cotton Geometric Print Kurta - Kurtas for Women from Anouk at Rs. 539. Style ID: 17276000,"Anouk Women Pink & White Pure Cotton Geometric Print Kurta,  Anouk, Kurtas, Topwear, Apparel, Apparel for Women, Buy Anouk Women Pink & White Pure Cotton Geometric Print Kurta Online in India, Buy Kurtas at best price"
dresses/herenow/herenow-women-mustard-yellow--white-floral-pure-cotton-a-line-midi-dress/16595606/buy,"['clothing', 'women-clothing', 'dresses', 'here-and-now-dresses']","11th Floor, Flat No. 1106, 1107, 26, Kailash, Kasturba Gandhi Marg, New Delhi, New Delhi, Delhi, 110001Delhi , Delhi - 110001",Buy HERE&NOW Women Mustard Yellow & White Floral Pure Cotton A Line Midi Dress - Dresses for Women from HERE&NOW at Rs. 559. Style ID: 16595606,"HERE&NOW Women Mustard Yellow & White Floral Pure Cotton A Line Midi Dress,  HERE&NOW, Dresses, Dress, Apparel, Apparel for Women, Buy HERE&NOW Women Mustard Yellow & White Floral Pure Cotton A Line Midi Dress Online in India, Buy Dresses at best price"
nightdress/beebelle/beebelle-navy-blue--pink-floral-printed-maternity--feeding-nightdress/16616172/buy,"['clothing', 'women-clothing', 'nightdress', 'beebelle-nightdress']","GROUND PLUS FIRST FLOOR, SHOP NO 11,12,13, GANESH INDUSTRIAL ESTATE,WALIV, VASAI EAST, Palghar, Maharashtra,Mumbai , Maharashtra - 401208",Buy Beebelle Navy Blue & Pink Floral Printed Maternity & Feeding Nightdress - Nightdress for Women from Beebelle at Rs. 774. Style ID: 16616172,"Beebelle Navy Blue & Pink Floral Printed Maternity & Feeding Nightdress,  Beebelle, Nightdress, Loungewear And Nightwear, Apparel, Apparel for Women, Buy Beebelle Navy Blue & Pink Floral Printed Maternity & Feeding Nightdress Online in India, Buy Nightdress at best price"
shorts/mast--harbour/mast--harbour-men-black-shorts/14445530/buy,"['clothing', 'men-clothing', 'shorts', 'mast-and-harbour-shorts']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Men Black Shorts - Shorts for Men from Mast & Harbour at Rs. 599. Style ID: 14445530,"Mast & Harbour Men Black Shorts,  Mast & Harbour, Shorts, Bottomwear, Apparel, Apparel for Men, Buy Mast & Harbour Men Black Shorts Online in India, Buy Shorts at best price"
belts/cantabil/cantabil-men-black-leather-belt/17905418/buy,"['accessories', 'men-accessories', 'belts', 'cantabil-belts']","B-16 LAWERENCE ROAD IND. AREA, NEAR SEVEN SEAS BANQUETDelhi , Delhi - 110035",Buy Cantabil Men Black Leather Belt - Belts for Men from Cantabil at Rs. 599. Style ID: 17905418,"Cantabil Men Black Leather Belt,  Cantabil, Belts, Belts, Accessories, Accessories for Men, Buy Cantabil Men Black Leather Belt Online in India, Buy Belts at best price"
kurtas/rangmanch-by-pantaloons/rangmanch-by-pantaloons-women-black-embroidered-thread-work-kurta/18696938/buy,"['clothing', 'women-clothing', 'kurtas', 'rangmanch-by-pantaloons-kurtas']","Business Ground Floor,No 65/64, old No 65, 6th Block, Ward No 21, 2nd Main RoadBengaluru (Bangalore) UrbanBengaluru , Karnataka - 560044",Buy RANGMANCH BY PANTALOONS Women Black Embroidered Thread Work Kurta - Kurtas for Women from RANGMANCH BY PANTALOONS at Rs. 1099. Style ID: 18696938,"RANGMANCH BY PANTALOONS Women Black Embroidered Thread Work Kurta,  RANGMANCH BY PANTALOONS, Kurtas, Topwear, Apparel, Apparel for Women, Buy RANGMANCH BY PANTALOONS Women Black Embroidered Thread Work Kurta Online in India, Buy Kurtas at best price"
