prod_link,tags,seller_address,meta_description,meta_keyword
sunglasses/mast--harbour/mast--harbour-unisex-wayfarer-sunglasses-mfb-pn-aep128y-3/8431307/buy,"['accessories', 'unisex-accessories', 'sunglasses', 'mast-and-harbour-sunglasses']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Unisex Wayfarer Sunglasses MFB PN AEP128Y 3 - Sunglasses for Unisex from Mast & Harbour at Rs. 439. Style ID: 8431307,"Mast & Harbour Unisex Wayfarer Sunglasses MFB PN AEP128Y 3,  Mast & Harbour, Sunglasses, Eyewear, Accessories, Accessories for Unisex, Buy Mast & Harbour Unisex Wayfarer Sunglasses MFB PN AEP128Y 3 Online in India, Buy Sunglasses at best price"
lounge-tshirts/etc/etc-women-set-of-2-solid-lounge-pure-cotton-t-shirt/15044450/buy,"['clothing', 'women-clothing', 'lounge-tshirts', 'etc-lounge-tshirts']","406, B2 and C, 4th Floor,Centrum Plaza, Golf Course Road, Sector - 53,Gurugram , Haryana - 122102",Buy ETC Women Set Of 2 Solid Lounge Pure Cotton T Shirt - Lounge Tshirts for Women from ETC at Rs. 349. Style ID: 15044450,"ETC Women Set Of 2 Solid Lounge Pure Cotton T Shirt,  ETC, Lounge Tshirts, Loungewear And Nightwear, Apparel, Apparel for Women, Buy ETC Women Set Of 2 Solid Lounge Pure Cotton T Shirt Online in India, Buy Lounge Tshirts at best price"
tops/kazo/kazo-blue-bralette-crop-top/15660444/buy,"['clothing', 'women-clothing', 'tops', 'kazo-tops']","A18, Sectro 64,,Gautam Budh NagarNoida , Uttar Pradesh - 201301",Buy Kazo Blue Bralette Crop Top - Tops for Women from Kazo at Rs. 845. Style ID: 15660444,"Kazo Blue Bralette Crop Top,  Kazo, Tops, Topwear, Apparel, Apparel for Women, Buy Kazo Blue Bralette Crop Top Online in India, Buy Tops at best price"
shirts/highlander/highlander-men-black--grey-slim-fit-printed-casual-shirt/12879116/buy,"['clothing', 'men-clothing', 'shirts', 'highlander-shirts']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy HIGHLANDER Men Black & Grey Slim Fit Printed Casual Shirt - Shirts for Men from HIGHLANDER at Rs. 399. Style ID: 12879116,"HIGHLANDER Men Black & Grey Slim Fit Printed Casual Shirt,  HIGHLANDER, Shirts, Topwear, Apparel, Apparel for Men, Buy HIGHLANDER Men Black & Grey Slim Fit Printed Casual Shirt Online in India, Buy Shirts at best price"
face-moisturisers/nivea/nivea-unisex-creme-multi-purpose-moisturiser-protective-skin-care-cream-100g/125322/buy,"['personal-care', 'unisex-personal-care', 'face-moisturisers', 'nivea-face-moisturisers']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Nivea Unisex Creme Multi Purpose Moisturiser Protective Skin Care Cream 100g - Face Moisturisers for Unisex from Nivea at Rs. 179. Style ID: 125322,"Nivea Unisex Creme Multi Purpose Moisturiser Protective Skin Care Cream 100g,  Nivea, Face Moisturisers, Skin, Personal Care, Personal Care for Unisex, Buy Nivea Unisex Creme Multi Purpose Moisturiser Protective Skin Care Cream 100g Online in India, Buy Face Moisturisers at best price"
clothing-set/pspeaches/pspeaches-girls-grey-striped-top--trousers/17630062/buy,"['clothing', 'girls-clothing', 'clothing-set', 'pspeaches-clothing-set']","c-52,sector-6,noidanoidaNoida , Uttar pradesh - 201301",Buy Pspeaches Girls Grey Striped Top & Trousers - Clothing Set for Girls from Pspeaches at Rs. 824. Style ID: 17630062,"Pspeaches Girls Grey Striped Top & Trousers,  Pspeaches, Clothing Set, Apparel Set, Apparel, Apparel for Girls, Buy Pspeaches Girls Grey Striped Top & Trousers Online in India, Buy Clothing Set at best price"
shorts/max/max-boys-red-solid-shorts/18128046/buy,"['clothing', 'boys-clothing', 'shorts', 'max-shorts']","#41/2,42/2,Oblapura Gram panchyat,Anugondanahalli HobliDevangundi Main RoadHoskote TalukBengaluru , Karnataka - 560067",Buy Max Boys Red Solid Shorts - Shorts for Boys from Max at Rs. 499. Style ID: 18128046,"Max Boys Red Solid Shorts,  Max, Shorts, Bottomwear, Apparel, Apparel for Boys, Buy Max Boys Red Solid Shorts Online in India, Buy Shorts at best price"
tops/kassually/kassually-women-black-solid-crop-top/13649562/buy,"['clothing', 'women-clothing', 'tops', 'kassually-tops']","2- FLOOR, SF-221, IT COMPLEX, JMD MEGAPOLIS, SOHNA ROAD VILLAGE TIKRI, Gurgaon, Haryana, 122018Gurugram , Haryana - 122018",Buy KASSUALLY Women Black Solid Crop Top - Tops for Women from KASSUALLY at Rs. 419. Style ID: 13649562,"KASSUALLY Women Black Solid Crop Top,  KASSUALLY, Tops, Topwear, Apparel, Apparel for Women, Buy KASSUALLY Women Black Solid Crop Top Online in India, Buy Tops at best price"
wallets/highlander/highlander-men-black-solid-zip-around-wallet/12589204/buy,"['accessories', 'men-accessories', 'wallets', 'highlander-wallets']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy HIGHLANDER Men Black Solid Zip Around Wallet - Wallets for Men from HIGHLANDER at Rs. 909. Style ID: 12589204,"HIGHLANDER Men Black Solid Zip Around Wallet,  HIGHLANDER, Wallets, Wallets, Accessories, Accessories for Men, Buy HIGHLANDER Men Black Solid Zip Around Wallet Online in India, Buy Wallets at best price"
tshirts/under-armour/under-armour-women-lavender-brand-logo-print-live-sportstyle-graphic-ssc-t-shirt/18038428/buy,"['clothing', 'women-clothing', 'tshirts', 'under-armour-tshirts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy UNDER ARMOUR Women Lavender Brand Logo Print Live Sportstyle Graphic SSC T Shirt - Tshirts for Women from UNDER ARMOUR at Rs. 1999. Style ID: 18038428,"UNDER ARMOUR Women Lavender Brand Logo Print Live Sportstyle Graphic SSC T Shirt,  UNDER ARMOUR, Tshirts, Topwear, Apparel, Apparel for Women, Buy UNDER ARMOUR Women Lavender Brand Logo Print Live Sportstyle Graphic SSC T Shirt Online in India, Buy Tshirts at best price"
