prod_link,tags,seller_address,meta_description,meta_keyword
sports-shoes/asian/asian-men-black-mesh-running-shoes/18725708/buy,"['footwear', 'men-footwear', 'sports-shoes', 'asian-sports-shoes']","T-1/100 BASEMENT GROUND FLOOR HALF MANGOLPURI INDL AREA PHASE-1 NORTH WEST DELHIDelhi , Delhi - 110083",Buy ASIAN Men Black Mesh Running Shoes - Sports Shoes for Men from ASIAN at Rs. 749. Style ID: 18725708,"ASIAN Men Black Mesh Running Shoes,  ASIAN, Sports Shoes, Shoes, Footwear, Footwear for Men, Buy ASIAN Men Black Mesh Running Shoes Online in India, Buy Sports Shoes at best price"
laptop-bag/teakwood-leathers/teakwood-leathers-unisex-brown-solid-leather-laptop-bag/10811602/buy,"['accessories', 'unisex-accessories', 'laptop-bag', 'teakwood-leathers-laptop-bag']","SF-14, MG ROAD, 2ND FLOOR, MGF METROPOLITAN, GURGAON-122002Gurugram , Haryana - 122002",Buy Teakwood Leathers Unisex Brown Solid Leather Laptop Bag - Laptop Bag for Unisex from Teakwood Leathers at Rs. 3824. Style ID: 10811602,"Teakwood Leathers Unisex Brown Solid Leather Laptop Bag,  Teakwood Leathers, Laptop Bag, Bags, Accessories, Accessories for Unisex, Buy Teakwood Leathers Unisex Brown Solid Leather Laptop Bag Online in India, Buy Laptop Bag at best price"
dresses/urbanic/urbanic-pink-floral-a-line-maxi-dress/18500406/buy,"['clothing', 'women-clothing', 'dresses', 'urbanic-dresses']",,Buy URBANIC Pink Floral A Line Maxi Dress - Dresses for Women from URBANIC at Rs. 1032. Style ID: 18500406,"URBANIC Pink Floral A Line Maxi Dress,  URBANIC, Dresses, Dress, Apparel, Apparel for Women, Buy URBANIC Pink Floral A Line Maxi Dress Online in India, Buy Dresses at best price"
bra/zivame/zivame-white--pink-floral-bra-lightly-padded/18407860/buy,"['clothing', 'women-clothing', 'bra', 'zivame-bra']","MILA STAR RETAIL PRIVATE LIMITED3rd FLOOR, 2726, Sri Lakshminarayana Nivas, 80 Feet Road, Indiranagar, HAL 3rd stage,Bengaluru , Karnataka - 560075",Buy Zivame White & Pink Floral Bra Lightly Padded - Bra for Women from Zivame at Rs. 796. Style ID: 18407860,"Zivame White & Pink Floral Bra Lightly Padded,  Zivame, Bra, Innerwear, Apparel, Apparel for Women, Buy Zivame White & Pink Floral Bra Lightly Padded Online in India, Buy Bra at best price"
track-pants/sweet-dreams/sweet-dreams-men-black-solid-mid-rise-casual-track-pants/18209728/buy,"['clothing', 'men-clothing', 'track-pants', 'sweet-dreams-track-pants']","406, B2 and C, 4th Floor,Centrum Plaza, Golf Course Road, Sector - 53,Gurugram , Haryana - 122102",Buy Sweet Dreams Men Black Solid Mid Rise Casual Track Pants - Track Pants for Men from Sweet Dreams at Rs. 1529. Style ID: 18209728,"Sweet Dreams Men Black Solid Mid Rise Casual Track Pants,  Sweet Dreams, Track Pants, Bottomwear, Apparel, Apparel for Men, Buy Sweet Dreams Men Black Solid Mid Rise Casual Track Pants Online in India, Buy Track Pants at best price"
ring/forever-21/forever-21-blue--white-striped-resin-finger-ring/16460876/buy,"['accessories', 'women-accessories', 'ring', 'forever-21-ring']","Ground Floor, No 65/64, old No 65, 6th Block, Ward No 21, 2nd Main Road, Bangalore,Bengaluru (Bangalore) Urban, KarnatakaBengaluru , Karnataka - 560044",Buy FOREVER 21 Blue & White Striped Resin Finger Ring - Ring for Women from FOREVER 21 at Rs. 105. Style ID: 16460876,"FOREVER 21 Blue & White Striped Resin Finger Ring,  FOREVER 21, Ring, Jewellery, Accessories, Accessories for Women, Buy FOREVER 21 Blue & White Striped Resin Finger Ring Online in India, Buy Ring at best price"
shirts/us-polo-assn-denim-co/us-polo-assn-denim-co-denim-co-men-green-slim-fit-striped-pure-cotton-casual-shirt/17921098/buy,"['clothing', 'men-clothing', 'shirts', 'u.s.-polo-assn.-denim-co.-shirts']","Second Floor, Plot No. 82, Okhla Industrial Estate, Phase - III, New Delhi, Delhi, 110020Delhi , Delhi - 110020",Buy U.S. Polo Assn. Denim Co. Denim Co Men Green Slim Fit Striped Pure Cotton Casual Shirt - Shirts for Men from U.S. Polo Assn. Denim Co. at Rs. 1264. Style ID: 17921098,"U.S. Polo Assn. Denim Co. Denim Co Men Green Slim Fit Striped Pure Cotton Casual Shirt,  U.S. Polo Assn. Denim Co., Shirts, Topwear, Apparel, Apparel for Men, Buy U.S. Polo Assn. Denim Co. Denim Co Men Green Slim Fit Striped Pure Cotton Casual Shirt Online in India, Buy Shirts at best price"
suits/van-heusen/van-heusen-men-purple-self-design-slim-fit-two-piece-formal-suit/17915608/buy,"['clothing', 'men-clothing', 'suits', 'van-heusen-suits']","Ground Floor, No 65/64, old No 65, 6th Block, Ward No 21, 2ndMain Road,Bengaluru , Karnataka - 560044",Buy Van Heusen Men Purple Self Design Slim Fit Two Piece Formal Suit - Suits for Men from Van Heusen at Rs. 7589. Style ID: 17915608,"Van Heusen Men Purple Self Design Slim Fit Two Piece Formal Suit,  Van Heusen, Suits, Apparel Set, Apparel, Apparel for Men, Buy Van Heusen Men Purple Self Design Slim Fit Two Piece Formal Suit Online in India, Buy Suits at best price"
lingerie-set/klamotten/klamotten-black-satin-lingerie-set-13k/6625069/buy,"['clothing', 'women-clothing', 'lingerie-set', 'klamotten-lingerie-set']","C-181 3rd FLOORSECTOR 63 NOIDANoida , Uttar Pradesh - 201301",Buy Klamotten Black Satin Lingerie Set 13K - Lingerie Set for Women from Klamotten at Rs. 359. Style ID: 6625069,"Klamotten Black Satin Lingerie Set 13K,  Klamotten, Lingerie Set, Innerwear, Apparel, Apparel for Women, Buy Klamotten Black Satin Lingerie Set 13K Online in India, Buy Lingerie Set at best price"
sandals/wildcraft/wildcraft-men-brown--beige-restyle-pu-comfort-sandals-engineered-withhypaflex-technology/15039004/buy,"['footwear', 'men-footwear', 'sandals', 'wildcraft-sandals']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy Wildcraft Men Brown & Beige Restyle PU Comfort Sandals Engineered With HYPAFLEX Technology - Sandals for Men from Wildcraft at Rs. 1299. Style ID: 15039004,"Wildcraft Men Brown & Beige Restyle PU Comfort Sandals Engineered With HYPAFLEX Technology,  Wildcraft, Sandals, Sandal, Footwear, Footwear for Men, Buy Wildcraft Men Brown & Beige Restyle PU Comfort Sandals Engineered With HYPAFLEX Technology Online in India, Buy Sandals at best price"
