prod_link,tags,seller_address,meta_description,meta_keyword
wallets/lino-perros/lino-perros-women-peach-coloured-croc-textured-two-fold-wallet/18070682/buy,"['accessories', 'women-accessories', 'wallets', 'lino-perros-wallets']","PLOT NO 324 UDYOG VIHAR PHASE 4 GURGAONGurugram , Haryana - 122016",Buy Lino Perros Women Peach Coloured Croc Textured Two Fold Wallet - Wallets for Women from Lino Perros at Rs. 828. Style ID: 18070682,"Lino Perros Women Peach Coloured Croc Textured Two Fold Wallet,  Lino Perros, Wallets, Wallets, Accessories, Accessories for Women, Buy Lino Perros Women Peach Coloured Croc Textured Two Fold Wallet Online in India, Buy Wallets at best price"
flip-flops/mast--harbour/mast--harbour-men-navy-blue--grey-striped-sliders/12548958/buy,"['footwear', 'men-footwear', 'flip-flops', 'mast-and-harbour-flip-flops']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Men Navy Blue & Grey Striped Sliders - Flip Flops for Men from Mast & Harbour at Rs. 454. Style ID: 12548958,"Mast & Harbour Men Navy Blue & Grey Striped Sliders,  Mast & Harbour, Flip Flops, Flip Flops, Footwear, Footwear for Men, Buy Mast & Harbour Men Navy Blue & Grey Striped Sliders Online in India, Buy Flip Flops at best price"
kurtas/biba/biba-women-off-white--black-printed-pure-cotton-a-line-kurta/13446092/buy,"['clothing', 'women-clothing', 'kurtas', 'biba-kurtas']","10, Cabin No 17, PVR Plaza Building, H Block, Connaught CircusDelhi , Delhi - 110001",Buy Biba Women Off White  Black Printed Pure Cotton A Line Kurta - Kurtas for Women from Biba at Rs. 1399. Style ID: 13446092,"Biba Women Off White  Black Printed Pure Cotton A Line Kurta,  Biba, Kurtas, Topwear, Apparel, Apparel for Women, Buy Biba Women Off White  Black Printed Pure Cotton A Line Kurta Online in India, Buy Kurtas at best price"
tshirts/anthrilo/anthrilo-girls-white-floral-printed-t-shirt/18017006/buy,"['clothing', 'girls-clothing', 'tshirts', 'anthrilo-tshirts']","kh400/413,  rahon road, Bhandari house,Village meharabanLudhiana , PUNJAB - 141007",Buy Anthrilo Girls White Floral Printed T Shirt - Tshirts for Girls from Anthrilo at Rs. 539. Style ID: 18017006,"Anthrilo Girls White Floral Printed T Shirt,  Anthrilo, Tshirts, Topwear, Apparel, Apparel for Girls, Buy Anthrilo Girls White Floral Printed T Shirt Online in India, Buy Tshirts at best price"
kurta-sets/fashion-dwar/fashion-dwar-women-multicoloured-ethnic-motifs-printed-pleated-pure-cotton-kurta-with-skirt/18015232/buy,"['clothing', 'women-clothing', 'kurta-sets', 'fashion-dwar-kurta-sets']","H-1/99 (B) RIICO industrial area, mansarovar , JaipurRajasthan-302020Jaipur , RAJASTHAN - 302020",Buy FASHION DWAR Women Multicoloured Ethnic Motifs Printed Pleated Pure Cotton Kurta With Skirt - Kurta Sets for Women from FASHION DWAR at Rs. 2899. Style ID: 18015232,"FASHION DWAR Women Multicoloured Ethnic Motifs Printed Pleated Pure Cotton Kurta With Skirt,  FASHION DWAR, Kurta Sets, Apparel Set, Apparel, Apparel for Women, Buy FASHION DWAR Women Multicoloured Ethnic Motifs Printed Pleated Pure Cotton Kurta With Skirt Online in India, Buy Kurta Sets at best price"
dresses/vishudh/vishudh-rust-brown-floral-printed-cotton-anarkali-dress/7726509/buy,"['clothing', 'women-clothing', 'dresses', 'vishudh-dresses']",,Buy Vishudh Rust Brown Floral Printed Cotton Anarkali Dress - Dresses for Women from Vishudh at Rs. 1739. Style ID: 7726509,"Vishudh Rust Brown Floral Printed Cotton Anarkali Dress,  Vishudh, Dresses, Dress, Apparel, Apparel for Women, Buy Vishudh Rust Brown Floral Printed Cotton Anarkali Dress Online in India, Buy Dresses at best price"
tops/tokyo-talkies/tokyo-talkies-pink-fitted-crop-top/14424536/buy,"['clothing', 'women-clothing', 'tops', 'tokyo-talkies-tops']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy Tokyo Talkies Pink Fitted Crop Top - Tops for Women from Tokyo Talkies at Rs. 224. Style ID: 14424536,"Tokyo Talkies Pink Fitted Crop Top,  Tokyo Talkies, Tops, Topwear, Apparel, Apparel for Women, Buy Tokyo Talkies Pink Fitted Crop Top Online in India, Buy Tops at best price"
sports-shoes/woakers/woakers-men-white--orange-mesh-running-shoes/13067478/buy,"['footwear', 'men-footwear', 'sports-shoes', 'woakers-sports-shoes']","AJJUDH PURAM BAGDA TAHSIL AGRA U.PAgra , UTTAR PRADESH - 282001",Buy Woakers Men White & Orange Mesh Running Shoes - Sports Shoes for Men from Woakers at Rs. 1999. Style ID: 13067478,"Woakers Men White & Orange Mesh Running Shoes,  Woakers, Sports Shoes, Shoes, Footwear, Footwear for Men, Buy Woakers Men White & Orange Mesh Running Shoes Online in India, Buy Sports Shoes at best price"
sweaters/roadster/the-roadster-lifestyle-co-men-black--teal-blue-jacquard-checked-pullover/15654428/buy,"['clothing', 'men-clothing', 'sweaters', 'roadster-sweaters']","PLOT NO. A-8, SECTOR A-7, PART-1TRONICA CITY INDUSTRIAL AREA, LONI, GAZIABAD,Loni , Uttar pradesh - 201102",Buy The Roadster Lifestyle Co Men Black & Teal Blue Jacquard Checked Pullover - Sweaters for Men from Roadster at Rs. 999. Style ID: 15654428,"The Roadster Lifestyle Co Men Black & Teal Blue Jacquard Checked Pullover,  Roadster, Sweaters, Topwear, Apparel, Apparel for Men, Buy The Roadster Lifestyle Co Men Black & Teal Blue Jacquard Checked Pullover Online in India, Buy Sweaters at best price"
tops/hm/hm-girls-pink-cotton-jersey-top/16929940/buy,"['clothing', 'girls-clothing', 'tops', 'h-and-m-tops']","Prakhhyat Infraprojects PVT. LTD., BUILDING 6, K-Square Logistics Park C/O LF LogisticsNear Padgha Toll Naka on MUMBAI-NASIKThane , Maharashtra - 421101","H&M Girls Pink Cotton Jersey Top,  H&M, Tops, Topwear, Apparel, Apparel for Girls, Buy H&M Girls Pink Cotton Jersey Top Online in India, Buy Tops at best price","H&M Girls Pink Cotton Jersey Top,  H&M, Tops, Topwear, Apparel, Apparel for Girls, Buy H&M Girls Pink Cotton Jersey Top Online in India, Buy Tops at best price"
