product_name,brand_name,rating,rating_count,marked_price,discounted_price,sizes,product_link,img_link
Women Thong Flip-Flops,ELLE,0,0,1499.0,689.0,"UK3,UK4,UK5,UK6,UK7,UK8",flip-flops/elle/elle-women-purple--gold-toned-thong-flip-flops/18282710/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18282710/2022/5/16/c51b0ec8-a84b-4766-82f7-1a33863f72fe1652697426165ELLEWomenPurpleFlipFlops1.jpg"
Women Sliders,Carlton London,0,0,1499.0,674.0,"UK3,UK4,UK5,UK6,UK7",flip-flops/carlton-london/carlton-london-women-beige-sliders/18186992/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18186992/2022/5/7/90b9e0f7-9010-49a1-a78e-edeaf7219ee21651909544373CarltonLondonWomenBeigeFlipFlops1.jpg"
Women Mojaris Flats,DESI COLOUR,0,0,1498.0,689.0,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",flats/desi-colour/desi-colour-women-yellow-ethnic-mojaris-flats/17374026/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17374026/2022/3/3/a0c5420c-b6a6-4077-a0ee-8af9262b41961646307560483DESICOLOURWomenYellowEthnicMojarisFlats1.jpg"
Women Solid Open Toe Flats,CORSICA,0,0,2299.0,689.0,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",flats/corsica/corsica-women-dusty-rose-solid-open-toe-flats/15146934/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15146934/2022/5/6/e4b94097-fa7d-4ae1-aaf0-9759847788821651835872139-CORSICA-Women-Dusty-Rose-Solid-Open-Toe-Flats-73616518358717-1.jpg"
Block Heels,SALARIO,0,0,1999.0,1299.0,"UK3,UK4,UK5,UK6,UK7,UK8",heels/salario/salario-green-block-heels/16271342/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16271342/2021/11/27/367a560b-3d07-4385-827c-2fe9957ece901637997748582WomenGreenSolidBlockHeel1.jpg"
Unisex Curtains and Sheers,Homefab India,0,0,1199.0,449.0,Window,curtains-and-sheers/homefab-india/-homefab-india-unisex-maroon-curtains-and-sheers/18458596/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18458596/2022/5/26/05d8ddd4-6f5f-439c-97d5-6420738dfc311653578694279HomefabIndiaUnisexMaroonCurtainsandSheers1.jpg"
Men Beard Growth Oil 60 ml,URBANGABRU,0,0,399.0,347.0,Onesize,beard--moustache-care/urbangabru/-urbangabru-men-beard-growth-oil-60-ml/18484310/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18484310/2022/5/28/6e6ab3b9-244d-47a8-b4b0-6162eaf231471653742345007URBANGABRUMenBeardGrowthOil60ml1.jpg"
Wedding Traditional Temple Jewellery Set,Goldnera,0,0,999.0,599.0,Onesize,jewellery-set/goldnera/goldnera-wedding-traditional-temple-jewellery-set/17993868/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17993868/2022/4/22/d1b5eabd-9fbf-468d-913c-257adf5a64c61650621263318GoldNeraWeddingJewelleryTraditionalTempleJewelleryForWomenGi1.jpg"
Half Hoop Earrings,Kushal's Fashion Jewellery,0,0,680.0,680.0,Onesize,earrings/kushals-fashion-jewellery/kushals-fashion-jewellery-white-circular-half-hoop-earrings/18040996/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18040996/2022/4/26/ab083e6a-541a-4f01-8339-8e71e7b02b461650964169303KushalsFashionJewelleryWhiteCircularHalfHoopEarrings1.jpg"
Casual Shirt,Allen Solly Sport,0,0,2499.0,1974.0,"38,39,40,42",shirts/allen-solly-sport/allen-solly-sport-men-purple-casual-shirt/18505948/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18505948/2022/5/30/b03084e7-5606-441b-a715-c4ca01602a921653901821536AllenSollyPurpleShirt1.jpg"
Men Typography Printed Mandarin Collar Applique T-shirt,V-Mart,0,0,499.0,474.0,"XS,S,M,L,XL,XXL",tshirts/v-mart/v-mart-men-green-typography-printed-mandarin-collar-applique-t-shirt/18200750/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18200750/2022/5/9/cddce26d-ed0a-4c8e-8c56-16ee504d483a1652092200451V-MartMenGreenTypographyPrintedMandarinCollarAppliqueT-shirt1.jpg"
Woven Design Banarasi Silk Cotton Saree,PERFECT WEAR,0,0,7499.0,4299.0,Onesize,sarees/perfect-wear/perfect-wear-orange--green-woven-design-zari-silk-cotton-banarasi-saree/17978622/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17978622/2022/4/21/8aeb6490-1b72-4243-b2c5-6737de06b1571650560700563PERFECTWEARWomenMultiSarees1.jpg"
Animal Leather Sling Bag,Da Milano,0,0,11499.0,8049.0,Onesize,handbags/da-milano/da-milano-rust-animal-textured-leather-structured-sling-bag/17168650/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17168650/2022/2/16/ee09982c-f01c-4cdb-98c2-74afc9ac20ca1645007905424DaMilanoOrangeTexturedLeatherStructuredSlingBag1.jpg"
Woven Design Banarasi Pure Silk Saree,BOMBAY SELECTIONS,0,0,9745.0,8770.0,Onesize,sarees/bombay-selections/bombay-selections-yellow--gold-toned-woven-design-zari-pure-silk-banarasi-saree/17640082/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17640082/2022/3/25/f3e0b5ad-4664-4fa7-95e1-eb0071b06cc71648199594752BOMBAYSELECTIONSWomenYellowSarees1.jpg"
Solid Kurta with Pyjamas,Vartah,2.4,5,6799.0,3739.0,"S,M,L,XL",kurta-sets/vartah/vartah-men-gold-toned--cream-coloured-solid-kurta-with-pyjamas/13190572/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/12/8/04050921-fb67-4abd-ad02-ca6fb0ea68b51607423461164-1.jpg"
Solid Saree,Inddus,3.8,63,4399.0,1759.0,Onesize,sarees/inddus/inddus-purple-solid-poly-georgette-saree/13003804/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13003804/2021/1/4/aaa90be0-89a2-4596-9d37-cd580f79c01a1609736136015-Inddus-Purple-Solid-Poly-Georgette-Saree-3391609736134194-1.jpg"
Unisex Large Trolley Suitcase,Nasher Miles,0,0,17995.0,6478.0,L,trolley-bag/nasher-miles/nasher-miles-unisex-peach-coloured-large-trolley-suitcase/15696124/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15696124/2021/9/30/adc3cd20-1d69-42e2-b838-17fcde7ed8c91633007935112NasherMilesUnisexPeach-ColouredLargeTrolleySuitcase1.jpg"
W2 Leather Zip Around Wallet,Hidesign,4.3,7,3195.0,1757.0,Onesize,wallets/hidesign/hidesign-women-green-textured-ee-hong-kong-w2-leather-zip-around-wallet/13680722/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13680722/2021/12/23/9ce1d615-a4fa-47ce-9c25-73aa20dddcb51640234968401-Hidesign-Women-Green-Textured-EE-HONG-KONG-W2-Leather-Zip-Ar-1.jpg"
Semi-Stitched Lehenga Set,WHITE FIRE,0,0,18000.0,4350.0,Onesize,lehenga-choli/white-fire/white-fire-pink--blue-embellished-sequinned-semi-stitched-lehenga--unstitched-blouse-with-dupatta/17932218/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17932218/2022/4/19/48b78879-b4a3-48bb-8a0b-886e43ef7efb1650361704447WHITEFIREWomenPinkLehengaCholi1.jpg"
